Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,818,1100,74.4,12061,2748,460,550,83.6,274,360,76.1,44,67,65.7,2,5.2,4.4,-3.2,41,63,61,5,130,21/22
Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14,308,424,72.6,4133,1621,194,223,87,85,124,68.5,12,38,31.6,2,0.3,0.3,1.7,4,19,0,0,22,21/22
Fernando Marçal,br BRA,MFDF,Wolves,32,1989,16.1,669,887,75.4,10434,3383,356,394,90.4,264,347,76.1,35,87,40.2,0,0.6,0.7,-0.6,10,35,9,4,50,21/22
Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,556,771,72.1,9536,2619,291,348,83.6,178,245,72.7,67,115,58.3,2,2.3,2.9,-0.3,35,30,33,8,69,21/22
Pablo Marí,es ESP,DF,Arsenal,27,1993,2,79,92,85.9,1437,481,33,37,89.2,40,41,97.6,5,11,45.5,0,0.1,0.3,-0.1,1,6,0,0,9,21/22
Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,67,86,77.9,946,198,43,51,84.3,23,28,82.1,0,2,0,0,0,0.4,0,0,5,5,0,14,21/22
Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,439,611,71.8,6765,1235,252,303,83.2,150,204,73.5,29,62,46.8,6,4.3,3.4,1.7,34,11,16,5,37,21/22
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,816,1103,74,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0,0,0,0,15,0,0,0,21/22
Adam Masina,ma MAR,DF,Watford,27,1994,12,375,549,68.3,7252,3197,147,183,80.3,178,230,77.4,47,121,38.8,1,0.7,0.7,0.3,7,33,7,6,37,21/22
Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,289,382,75.7,4058,1291,171,189,90.5,87,121,71.9,15,40,37.5,1,0.8,0.8,0.2,2,30,6,2,33,21/22
Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,187,217,86.2,2589,580,119,127,93.7,43,52,82.7,14,19,73.7,0,0.2,0.3,-0.2,2,16,6,2,16,21/22
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,158,238,66.4,1749,253,106,142,74.6,29,44,65.9,2,7,28.6,1,1.3,0.6,-0.3,7,4,3,1,6,21/22
Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,911,1053,86.5,15189,4882,447,493,90.7,344,384,89.6,88,110,80,4,2,1.4,2,13,97,7,2,98,21/22
Joël Matip,cm CMR,DF,Liverpool,29,1991,31,2074,2344,88.5,39370,13117,675,757,89.2,1170,1262,92.7,202,271,74.5,3,1.3,2,1.7,12,186,9,0,186,21/22
Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,479,622,77,6208,920,279,326,85.6,144,174,82.8,11,19,57.9,2,2.4,2,-0.4,23,20,25,2,48,21/22
Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,32.3,527,817,64.5,7739,1649,315,409,77,149,229,65.1,38,81,46.9,7,3.7,3.3,3.3,34,33,28,7,56,21/22
James McArthur,sct SCO,MF,Crystal Palace,33,1987,16,773,940,82.2,13033,3152,357,397,89.9,330,366,90.2,61,114,53.5,3,1.4,1,1.6,16,64,19,4,84,21/22
James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,9,13,69.2,141,7,3,5,60,6,6,100,0,1,0,0,0,0,0,0,0,0,0,1,21/22
Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0,1,1,100,5,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,21/22
Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,2,2,100,42,0,1,1,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,21/22
Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,318,508,62.6,8708,6548,79,79,100,139,141,98.6,97,283,34.3,0,0,0,0,1,9,0,0,0,21/22
John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,1023,1365,74.9,20891,8296,394,464,84.9,416,515,80.8,187,318,58.8,4,5.3,5.3,-1.3,51,163,48,12,196,21/22
Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0,2,3,66.7,28,0,1,1,100,1,2,50,0,0,,0,0,0,0,0,0,0,0,0,21/22
Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,786,1090,72.1,13086,4130,390,488,79.9,301,386,78,71,143,49.7,0,0.8,1,-0.8,10,73,21,0,99,21/22
Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,782,1154,67.8,14022,4010,377,434,86.9,265,358,74,112,245,45.7,1,4.6,5.3,-3.6,47,67,43,21,104,21/22
