Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
André Gomes,pt POR,MF,Everton,27,1993,17.4,752,908,82.8,13045,3344,351,392,89.5,282,315,89.5,82,126,65.1,1,1,0.8,0,15,79,14,2,103,20/21
Joe Gomez,eng ENG,DF,Liverpool,23,1997,6.6,500,558,89.6,9898,3234,160,177,90.4,283,293,96.6,51,77,66.2,0,0,0.1,0,1,27,0,0,38,20/21
Anthony Gordon,eng ENG,FWMF,Everton,19,2001,1,22,27,81.5,293,65,15,15,100,5,5,100,2,4,50,0,0,0,0,1,1,2,0,2,20/21
Karlan Grant,eng ENG,FWMF,West Brom,22,1997,12.5,164,234,70.1,1990,336,110,141,78,34,45,75.6,6,12,50,0,0.2,0.3,-0.2,3,5,5,0,13,20/21
Demarai Gray,eng ENG,FW,Leicester City,24,1996,0.2,7,11,63.6,82,3,3,3,100,1,1,100,1,2,50,0,0,0,0,0,0,0,0,0,20/21
Jack Grealish,eng ENG,FWMF,Aston Villa,24,1995,24.3,872,1105,78.9,12898,4406,500,572,87.4,267,321,83.2,58,110,52.7,10,7.4,6.5,2.6,81,91,69,3,189,20/21
Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,20.2,614,747,82.2,8841,1423,370,417,88.7,175,203,86.2,39,62,62.9,2,2.2,2.3,-0.2,14,22,21,3,52,20/21
Pascal Groß,de GER,MFDF,Brighton,29,1991,27.6,1281,1705,75.1,23250,6784,557,653,85.3,499,600,83.2,178,345,51.6,8,5.2,5.1,2.8,70,102,46,17,165,20/21
Kamil Grosicki,pl POL,MFFW,West Brom,32,1988,1.6,30,45,66.7,455,110,14,18,77.8,12,15,80,2,9,22.2,1,0.3,0.1,0.7,3,3,1,0,4,20/21
Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,610,1081,56.4,20832,16995,97,98,99,208,215,96.7,300,759,39.5,0,0,0,0,0,12,0,0,0,20/21
İlkay Gündoğan,de GER,MF,Manchester City,29,1990,22.5,1583,1751,90.4,22988,4674,888,942,94.3,525,569,92.3,84,118,71.2,2,3.5,3.3,-1.5,40,133,31,1,167,20/21
Antwoine Hackford,eng ENG,DF,Sheffield Utd,16,2004,0.1,1,1,100,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,20/21
Sébastien Haller,ci CIV,FW,West Ham,26,1994,10.4,158,248,63.7,2283,509,100,138,72.5,33,54,61.1,16,23,69.6,0,1.4,1.5,-1.4,10,15,5,1,19,20/21
Rekeem Harper,eng ENG,MF,West Brom,20,2000,0.4,14,17,82.4,243,41,7,8,87.5,6,6,100,1,3,33.3,0,0,0,0,0,1,0,0,1,20/21
Jack Harrison,eng ENG,MFFW,Leeds United,23,1996,31.6,778,1182,65.8,11941,3703,424,517,82,262,377,69.5,57,148,38.5,8,6.5,5,1.5,59,48,52,12,98,20/21
Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7,173,232,74.6,3538,1459,49,64,76.6,99,115,86.1,23,48,47.9,0,0,0,0,0,13,0,0,10,20/21
Kai Havertz,de GER,MFFW,Chelsea,21,1999,16.9,658,788,83.5,8252,1336,412,449,91.8,167,190,87.9,23,31,74.2,3,1.3,1.9,1.7,18,38,20,1,74,20/21
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,25,1995,21.6,657,834,78.8,11000,2618,288,334,86.2,301,348,86.5,42,79,53.2,0,0.3,0.2,-0.3,7,44,4,2,47,20/21
Michael Hector,jm JAM,DF,Fulham,28,1992,2.9,148,187,79.1,3354,1366,37,40,92.5,82,89,92.1,29,56,51.8,0,0,0,0,1,11,1,0,12,20/21
Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1,38,57,66.7,742,399,13,18,72.2,19,26,73.1,6,11,54.5,0,0,0,0,0,1,0,0,2,20/21
Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,240,324,74.1,5189,3411,75,76,98.7,121,125,96.8,40,118,33.9,0,0,0,0,0,2,0,0,0,20/21
Jordan Henderson,eng ENG,MFDF,Liverpool,30,1990,18.9,1597,1855,86.1,28225,8368,687,742,92.6,731,795,91.9,146,258,56.6,1,1.5,2.3,-0.5,14,179,30,3,169,20/21
Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,15.8,433,544,79.6,6715,1658,233,272,85.7,137,163,84,35,53,66,1,1.1,0.6,-0.1,6,32,5,2,37,20/21
Pablo Hernández,es ESP,MF,Leeds United,35,1985,4.7,299,403,74.2,5225,1877,142,165,86.1,106,134,79.1,35,57,61.4,2,0.7,0.5,1.3,6,55,19,0,70,20/21
Son Heung-min,kr KOR,FW,Tottenham,28,1992,34.6,929,1223,76,12798,2837,550,626,87.9,218,294,74.1,63,141,44.7,10,8.4,5.1,1.6,75,38,23,3,87,20/21
Ki-Jana Hoever,nl NED,DFMF,Wolves,18,2002,6.4,268,361,74.2,4194,1441,150,177,84.7,94,125,75.2,15,30,50,0,0.2,0.2,-0.2,3,14,3,1,19,20/21
Rob Holding,eng ENG,DF,Arsenal,24,1995,28.4,1578,1819,86.8,31638,10249,470,510,92.2,912,989,92.2,183,283,64.7,1,0.2,0.4,0.8,4,123,6,0,114,20/21
Mason Holgate,eng ENG,DF,Everton,23,1996,25.4,961,1256,76.5,19466,6920,321,360,89.2,494,599,82.5,137,257,53.3,0,0.7,0.9,-0.7,8,55,12,4,57,20/21
Conor Hourihane,ie IRL,MF,Aston Villa,29,1991,2.5,122,164,74.4,2253,523,49,51,96.1,53,71,74.6,15,31,48.4,1,0.6,0.5,0.4,5,13,2,1,23,20/21
Callum Hudson-Odoi,eng ENG,FWDF,Chelsea,19,2000,11.8,533,659,80.9,7903,1791,315,349,90.3,139,179,77.7,39,65,60,3,2.8,2.9,0.2,31,29,43,13,75,20/21
Niall Huggins,wls WAL,DF,Leeds United,19,2000,0.4,16,19,84.2,204,55,11,11,100,4,5,80,0,2,0,0,0,0,0,0,0,0,0,1,20/21
Pierre Højbjerg,dk DEN,MF,Tottenham,24,1995,38,2455,2783,88.2,40417,12152,1161,1263,91.9,1033,1129,91.5,173,257,67.3,4,1.6,1.3,2.4,16,208,17,1,218,20/21
Odion Ighalo,ng NGA,FW,Manchester Utd,31,1989,0.1,2,2,100,16,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,20/21
Kelechi Iheanacho,ng NGA,FW,Leicester City,23,1996,16.2,407,521,78.1,5159,839,245,283,86.6,94,115,81.7,21,39,53.8,2,3.7,3.3,-1.7,28,22,20,4,41,20/21
Danny Ings,eng ENG,FW,Southampton,28,1992,24.1,337,527,63.9,4427,1222,195,256,76.2,88,140,62.9,17,40,42.5,4,2.1,1.3,1.9,22,29,15,2,52,20/21
Branislav Ivanović,rs SRB,DF,West Brom,36,1984,8.5,267,320,83.4,5173,1545,88,95,92.6,149,167,89.2,26,49,53.1,0,0.1,0,-0.1,1,6,2,0,10,20/21
Alex Iwobi,ng NGA,FWMF,Everton,24,1996,17.1,528,698,75.6,8511,2306,270,308,87.7,206,258,79.8,36,78,46.2,2,1.9,1.8,0.1,16,35,23,7,65,20/21
José Izquierdo,co COL,DF,Brighton,28,1992,0.1,8,9,88.9,115,10,5,5,100,3,4,75,0,0,,0,0,0,0,0,0,0,0,0,20/21
Phil Jagielka,eng ENG,DF,Sheffield Utd,37,1982,5.8,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8,0,0,0,0,0,7,0,0,6,20/21
Alireza Jahanbakhsh,ir IRN,FWMF,Brighton,26,1993,5.9,188,266,70.7,2801,657,103,126,81.7,61,82,74.4,14,28,50,1,3,2.3,-2,10,10,19,4,28,20/21
Daniel James,wls WAL,FW,Manchester Utd,22,1997,10.1,238,312,76.3,2956,698,148,176,84.1,66,85,77.6,4,7,57.1,1,0.9,0.8,0.1,10,8,13,2,32,20/21
Reece James,eng ENG,DF,Chelsea,20,1999,26.4,1706,2028,84.1,27925,6815,835,908,92,697,788,88.5,126,220,57.3,2,3.5,3.6,-1.5,41,90,44,19,128,20/21
Alexandre Jankewitz,ch SUI,MF,Southampton,18,2001,0,2,3,66.7,24,17,1,2,50,1,1,100,0,0,,0,0,0,0,0,0,1,0,1,20/21
Daniel Jebbison,eng ENG,FW,Sheffield Utd,17,2003,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50,0,0,0.1,0,1,2,0,0,1,20/21
Gabriel Jesus,br BRA,FW,Manchester City,23,1997,22.9,631,751,84,7356,844,416,472,88.1,133,154,86.4,18,25,72,4,2.7,2.2,1.3,30,18,13,1,41,20/21
Raúl Jiménez,mx MEX,FW,Wolves,29,1991,9.1,207,265,78.1,2947,540,114,135,84.4,51,67,76.1,18,23,78.3,0,0.3,0.2,-0.3,5,20,7,1,26,20/21
Joelinton,br BRA,FWMF,Newcastle Utd,23,1996,22,427,598,71.4,5385,1019,257,331,77.6,115,152,75.7,14,23,60.9,2,2.4,1,-0.4,17,24,9,1,39,20/21
Ben Johnson,eng ENG,DFFW,West Ham,20,2000,5.8,157,227,69.2,2426,1029,91,108,84.3,47,69,68.1,14,33,42.4,0,0.4,0.4,-0.4,4,17,3,3,20,20/21
Sam Johnstone,eng ENG,GK,West Brom,27,1993,37,655,1297,50.5,24681,19644,52,53,98.1,217,225,96.4,386,1011,38.2,1,0.2,0.1,0.8,1,22,0,0,0,20/21
Curtis Jones,eng ENG,MF,Liverpool,19,2001,13.1,900,983,91.6,12828,2687,534,569,93.8,280,294,95.2,41,53,77.4,2,1.5,1.4,0.5,12,87,23,1,89,20/21
Jorginho,it ITA,MF,Chelsea,28,1991,22.3,1594,1789,89.1,24705,6718,860,924,93.1,570,621,91.8,103,152,67.8,1,1.7,1.5,-0.7,24,142,23,3,145,20/21
Willian José,br BRA,FW,Wolves,28,1991,12.3,244,306,79.7,3814,519,132,148,89.2,65,85,76.5,29,38,76.3,0,1.2,0.7,-1.2,12,14,3,0,15,20/21
Diogo Jota,pt POR,FW,Liverpool,23,1996,12.4,321,449,71.5,4253,966,211,253,83.4,82,118,69.5,15,26,57.7,0,1.6,1.3,-1.6,12,28,11,0,43,20/21
James Justin,eng ENG,DF,Leicester City,22,1998,23,1004,1287,78,14803,4875,564,641,88,361,438,82.4,47,107,43.9,1,2,1.4,-1,19,54,31,5,94,20/21
Ozan Kabak,tr TUR,DF,Liverpool,20,2000,8.9,520,588,88.4,9202,2741,204,220,92.7,278,292,95.2,30,62,48.4,0,0,0,0,1,13,0,0,20,20/21
Aboubakar Kamara,mr MTN,FWMF,Fulham,25,1995,3.5,86,127,67.7,1291,253,50,61,82,28,36,77.8,4,15,26.7,0,0.3,0.3,-0.3,6,5,2,1,6,20/21
Harry Kane,eng ENG,FW,Tottenham,27,1993,34.2,652,965,67.6,10806,3448,312,423,73.8,196,273,71.8,86,140,61.4,14,7.1,3.6,6.9,49,100,38,5,132,20/21
N'Golo Kanté,fr FRA,MF,Chelsea,29,1991,23.8,1325,1542,85.9,20877,5242,639,716,89.2,519,579,89.6,94,126,74.6,2,1.3,1,0.7,22,96,12,1,116,20/21
Moise Kean,it ITA,FWMF,Everton,20,2000,0.2,6,8,75,87,0,3,3,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,20/21
Michael Keane,eng ENG,DF,Everton,27,1993,33.2,1691,1943,87,33042,12033,520,576,90.3,952,1020,93.3,183,289,63.3,1,1.1,0.7,-0.1,7,94,5,0,78,20/21
Neeskens Kebano,cd COD,FWMF,Fulham,28,1992,1.3,32,43,74.4,373,90,25,25,100,6,15,40,0,0,,0,0,0,0,1,2,0,0,1,20/21
Naby Keïta,gn GUI,MF,Liverpool,25,1995,5.8,315,361,87.3,4405,1075,183,204,89.7,109,120,90.8,11,17,64.7,0,0.6,0.6,-0.6,6,30,9,1,33,20/21
Caoimhín Kelleher,ie IRL,GK,Liverpool,21,1998,2,51,64,79.7,1166,668,9,9,100,31,31,100,11,24,45.8,0,0,0,0,0,0,0,0,0,20/21
Martin Kelly,eng ENG,DF,Crystal Palace,30,1990,0,2,3,66.7,28,15,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,20/21
Jonjoe Kenny,eng ENG,DF,Everton,23,1997,0.9,47,59,79.7,696,180,27,28,96.4,16,22,72.7,3,4,75,0,0,0.1,0,0,2,1,1,1,20/21
Reda Khadra,de GER,MF,Brighton,19,2001,0.1,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,20/21
Max Kilman,eng ENG,DF,Wolves,23,1997,14.6,664,757,87.7,11110,4141,292,314,93,330,355,93,31,71,43.7,1,0.5,0.3,0.5,5,45,2,0,46,20/21
Joshua King,no NOR,MFFW,Everton,28,1992,1.6,32,50,64,431,98,18,29,62.1,13,15,86.7,0,0,,0,0,0.1,0,0,1,1,0,5,20/21
Mateusz Klich,pl POL,MF,Leeds United,30,1990,26.6,1228,1545,79.5,18574,4943,621,720,86.3,424,508,83.5,94,163,57.7,5,3.4,3.1,1.6,44,105,40,4,184,20/21
Robin Koch,de GER,DFMF,Leeds United,24,1996,12.6,664,773,85.9,13042,4385,191,218,87.6,398,428,93,64,104,61.5,0,0.1,0.1,-0.1,4,35,3,0,49,20/21
Sead Kolašinac,ba BIH,DF,Arsenal,27,1993,1,57,67,85.1,814,147,33,36,91.7,22,23,95.7,1,2,50,0,0,0,0,0,3,1,0,2,20/21
Terence Kongolo,nl NED,DF,Fulham,26,1994,1,37,45,82.2,610,219,19,22,86.4,18,21,85.7,0,0,,0,0,0,0,0,2,1,1,3,20/21
Ezri Konsa,eng ENG,DF,Aston Villa,22,1997,35.5,1102,1305,84.4,21620,6304,325,378,86,646,702,92,113,184,61.4,0,0.1,0.1,-0.1,2,37,2,0,32,20/21
Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,30,1989,34.7,992,1287,77.1,17952,6675,400,457,87.5,462,547,84.5,106,221,48,0,1,0.3,-1,8,39,3,1,32,20/21
Mateo Kovačić,hr CRO,MF,Chelsea,26,1994,20.2,1603,1774,90.4,26888,7292,755,802,94.1,636,688,92.4,148,186,79.6,1,1.7,2.1,-0.7,21,160,23,0,189,20/21
Emil Krafth,se SWE,DF,Newcastle Utd,25,1994,14.3,416,580,71.7,6802,3176,202,243,83.1,165,226,73,33,71,46.5,0,0.4,0.2,-0.4,6,24,4,3,28,20/21
Filip Krovinović,hr CRO,MF,West Brom,24,1995,6.1,306,374,81.8,4854,1527,153,176,86.9,111,129,86,25,36,69.4,0,0.2,0.4,-0.2,5,44,8,0,41,20/21
Alexandre Lacazette,fr FRA,FW,Arsenal,29,1991,21.4,405,523,77.4,5117,1193,229,283,80.9,102,124,82.3,18,28,64.3,2,2.2,2.4,-0.2,22,32,19,0,55,20/21
Adam Lallana,eng ENG,MFFW,Brighton,32,1988,17.7,792,944,83.9,11000,2987,450,511,88.1,240,281,85.4,35,55,63.6,1,2.6,2.6,-1.6,25,61,26,2,109,20/21
Érik Lamela,ar ARG,FWMF,Tottenham,28,1992,8,284,363,78.2,4124,873,157,180,87.2,93,109,85.3,14,33,42.4,0,1,0.9,-1,8,20,10,0,36,20/21
Tariq Lamptey,gh GHA,DFMF,Brighton,19,2000,9.8,372,494,75.3,5371,1288,213,237,89.9,124,174,71.3,17,39,43.6,1,0.8,0.8,0.2,9,15,12,8,26,20/21
Manuel Lanzini,ar ARG,MFFW,West Ham,27,1993,6.3,338,375,90.1,4801,1253,202,215,94,109,117,93.2,14,19,73.7,1,0.9,0.9,0.1,11,27,2,0,28,20/21
Aymeric Laporte,es ESP,DF,Manchester City,26,1994,14.9,1169,1285,91,20850,6462,472,499,94.6,606,638,95,79,121,65.3,0,0.4,0.2,-0.4,4,107,3,0,99,20/21
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,26,1993,18.1,498,626,79.6,9640,3636,161,190,84.7,271,301,90,54,106,50.9,0,0.1,0.2,-0.1,3,22,4,0,22,20/21
Maxime Le Marchand,fr FRA,DF,Fulham,30,1989,1.4,78,85,91.8,1682,740,22,25,88,43,43,100,13,17,76.5,0,0,0.1,0,0,4,1,0,8,20/21
Mario Lemina,ga GAB,MF,Fulham,26,1993,18.9,744,897,82.9,13301,3779,330,382,86.4,318,364,87.4,75,114,65.8,0,0.8,1.1,-0.8,12,57,12,0,78,20/21
Bernd Leno,de GER,GK,Arsenal,28,1992,34.8,948,1182,80.2,20559,12493,290,290,100,509,515,98.8,145,370,39.2,0,0,0,0,0,3,0,0,2,20/21
Khanya Leshabela,za RSA,MF,Leicester City,20,1999,0.1,6,8,75,93,26,5,6,83.3,1,1,100,0,0,,0,0,0,0,0,1,0,0,2,20/21
Jamal Lewis,nir NIR,DF,Newcastle Utd,22,1998,20.4,637,852,74.8,9885,3861,340,390,87.2,228,288,79.2,44,108,40.7,1,1,1.1,0,14,31,14,10,41,20/21
Victor Lindelöf,se SWE,DF,Manchester Utd,26,1994,28.7,1686,1882,89.6,29559,11270,698,751,92.9,862,909,94.8,108,181,59.7,1,0.3,0.7,0.7,6,92,5,0,92,20/21
Jesse Lingard,eng ENG,MFFW,West Ham,27,1992,15.8,546,686,79.6,7671,1895,304,343,88.6,170,209,81.3,33,60,55,4,2.1,1.3,1.9,18,55,23,5,75,20/21
Jake Livermore,eng ENG,MF,West Brom,30,1989,13.8,273,388,70.4,4417,1144,135,170,79.4,107,141,75.9,21,48,43.8,0,0.2,0.2,-0.2,5,23,2,1,26,20/21
Diego Llorente,es ESP,DF,Leeds United,26,1993,13.4,598,721,82.9,11725,3380,170,196,86.7,368,412,89.3,52,90,57.8,0,0.5,0.3,-0.5,4,21,2,0,26,20/21
Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38,801,1079,74.2,19746,14204,262,265,98.9,300,305,98.4,229,498,46,0,0,0,0,0,7,0,0,0,20/21
Giovani Lo Celso,ar ARG,MF,Tottenham,24,1996,10.5,469,604,77.6,6897,2082,269,302,89.1,143,180,79.4,28,58,48.3,1,1,1,0,15,52,12,0,71,20/21
Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24,1996,0.7,11,17,64.7,127,14,10,11,90.9,1,2,50,0,1,0,0,0,0,0,0,1,0,0,0,20/21
Ruben Loftus-Cheek,eng ENG,MFFW,Fulham,24,1996,21.2,578,722,80.1,8146,1920,333,388,85.8,195,230,84.8,21,31,67.7,0,1.2,1.1,-1.2,17,57,13,2,82,20/21
Kevin Long,ie IRL,DF,Burnley,29,1990,7.1,191,268,71.3,3722,1296,66,79,83.5,91,114,79.8,28,61,45.9,0,0,0.1,0,1,8,1,0,15,20/21
Shane Long,ie IRL,FW,Southampton,33,1987,2.3,32,57,56.1,346,115,26,35,74.3,5,8,62.5,0,0,,0,0,0,0,0,2,0,0,3,20/21
Matthew Longstaff,eng ENG,MF,Newcastle Utd,20,2000,4.2,117,146,80.1,1902,416,59,68,86.8,43,53,81.1,11,16,68.8,0,0.2,0.1,-0.2,2,6,1,1,6,20/21
Sean Longstaff,eng ENG,MF,Newcastle Utd,22,1997,15.7,467,591,79,8564,2283,212,236,89.8,170,194,87.6,68,120,56.7,1,1,0.9,0,12,42,1,0,45,20/21
Ademola Lookman,ng NGA,FWMF,Fulham,22,1997,30.5,892,1199,74.4,13128,3607,497,577,86.1,295,378,78,56,128,43.8,4,5.2,4.2,-1.2,61,51,41,5,110,20/21
Max Lowe,eng ENG,DF,Sheffield Utd,23,1997,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,20/21
Matthew Lowton,eng ENG,DF,Burnley,31,1989,34,1061,1550,68.5,18130,8412,573,640,89.5,337,471,71.5,136,366,37.2,1,3.1,2.5,-2.1,25,125,48,12,127,20/21
David Luiz,br BRA,DF,Arsenal,33,1987,15.5,836,1013,82.5,17006,5726,254,278,91.4,464,502,92.4,102,192,53.1,0,0.5,1,-0.5,2,66,9,0,68,20/21
Douglas Luiz,br BRA,MF,Aston Villa,22,1998,30.9,1217,1445,84.2,22141,6015,503,568,88.6,525,577,91,152,212,71.7,2,1.6,1.4,0.4,19,134,13,3,131,20/21
John Lundstram,eng ENG,MF,Sheffield Utd,26,1994,22.6,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47,2,1.3,1.6,0.7,20,64,14,2,78,20/21
Alexis Mac Allister,ar ARG,MFFW,Brighton,21,1998,12.4,320,410,78,4922,1248,168,196,85.7,109,129,84.5,20,36,55.6,1,1.5,1.7,-0.5,15,26,16,0,48,20/21
James Maddison,eng ENG,MF,Leicester City,23,1996,23.3,874,1132,77.2,13447,3772,454,510,89,285,354,80.5,72,149,48.3,5,5.1,3.4,-0.1,51,103,33,3,134,20/21
Harry Maguire,eng ENG,DF,Manchester Utd,27,1993,33.9,1958,2250,87,38694,13018,634,711,89.2,1052,1144,92,232,325,71.4,1,0.3,0.6,0.7,7,175,8,1,194,20/21
Riyad Mahrez,dz ALG,FW,Manchester City,29,1991,21.7,916,1096,83.6,12994,2572,556,599,92.8,265,328,80.8,50,84,59.5,6,5,5.7,1,43,38,43,5,88,20/21
Ainsley Maitland-Niles,eng ENG,MFDF,Arsenal,22,1997,5.4,226,291,77.7,3689,985,114,127,89.8,88,114,77.2,16,30,53.3,0,0.1,0.2,-0.1,2,19,4,1,24,20/21
Ainsley Maitland-Niles,eng ENG,MF,West Brom,22,1997,13.7,313,416,75.2,4264,1309,177,214,82.7,81,102,79.4,22,37,59.5,0,0.7,1.3,-0.7,4,28,9,2,47,20/21
Josh Maja,ng NGA,FW,Fulham,21,1998,9,154,181,85.1,2069,213,86,97,88.7,45,48,93.8,8,10,80,0,0.5,0.5,-0.5,7,7,4,0,15,20/21
Sadio Mané,sn SEN,FW,Liverpool,28,1992,31.2,812,1082,75,11380,2510,499,589,84.7,218,289,75.4,48,70,68.6,7,7,5.3,0,61,41,66,7,112,20/21
Javier Manquillo,es ESP,DF,Newcastle Utd,26,1994,9.2,284,398,71.4,4076,1741,172,189,91,81,124,65.3,16,43,37.2,0,0.3,0.2,-0.3,5,12,4,3,20,20/21
Fernando Marçal,br BRA,DFMF,Wolves,31,1989,6.9,304,379,80.2,4974,1846,148,159,93.1,119,146,81.5,23,43,53.5,0,0.1,0.1,-0.1,4,22,1,1,23,20/21
Solly March,eng ENG,DFMF,Brighton,26,1994,18.6,676,979,69.1,11623,3652,326,376,86.7,258,358,72.1,72,165,43.6,1,1.5,2.5,-0.5,27,41,34,9,79,20/21
Pablo Marí,es ESP,DF,Arsenal,26,1993,10,552,630,87.6,9934,3287,221,235,94,281,302,93,44,83,53,0,0.3,0.3,-0.3,2,13,0,0,21,20/21
Anthony Martial,fr FRA,FW,Manchester Utd,24,1995,16.4,409,492,83.1,5013,959,261,296,88.2,101,122,82.8,10,12,83.3,3,2,1.8,1,17,25,15,0,46,20/21
Martinelli,br BRA,FW,Arsenal,19,2001,6.5,121,159,76.1,1597,346,84,102,82.4,32,41,78,2,7,28.6,1,1.8,1.5,-0.8,9,3,6,3,8,20/21
Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38,880,1319,66.7,26950,20290,131,133,98.5,424,431,98.4,324,745,43.5,0,0.1,0,-0.1,2,26,1,0,0,20/21
Arthur Masuaku,cd COD,DFMF,West Ham,26,1993,11.2,443,566,78.3,6690,2098,259,295,87.8,143,182,78.6,29,48,60.4,2,2.2,1.7,-0.2,11,34,11,7,43,20/21
Juan Mata,es ESP,FWMF,Manchester Utd,32,1988,5.7,249,300,83,3432,738,148,160,92.5,67,79,84.8,16,29,55.2,2,0.8,0.7,1.2,8,19,4,0,23,20/21
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997,2.5,29,49,59.2,275,72,23,33,69.7,3,8,37.5,0,0,,0,0,0,0,1,2,0,0,3,20/21
Nemanja Matić,rs SRB,MF,Manchester Utd,31,1988,12.3,921,1026,89.8,16133,4698,409,442,92.5,404,432,93.5,88,108,81.5,0,0.7,1.5,-0.7,8,78,11,1,86,20/21
Joël Matip,cm CMR,DF,Liverpool,28,1991,7.7,479,546,87.7,8617,2709,165,177,93.2,273,294,92.9,31,61,50.8,2,0.9,0.4,1.1,3,16,1,0,28,20/21
Neal Maupay,fr FRA,FWMF,Brighton,23,1996,27.9,520,672,77.4,7231,1289,271,319,85,174,206,84.5,27,45,60,2,3.9,3,-1.9,32,32,27,4,61,20/21
James McArthur,sct SCO,MF,Crystal Palace,32,1987,16.3,643,795,80.9,10765,3322,310,359,86.4,270,307,87.9,47,79,59.5,2,1.2,0.7,0.8,15,59,6,0,80,20/21
Oliver McBurnie,sct SCO,FW,Sheffield Utd,24,1996,14.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7,0,1.1,1,-1.1,15,24,14,0,44,20/21
Alex McCarthy,eng ENG,GK,Southampton,30,1989,30,700,1080,64.8,16451,11553,216,220,98.2,290,296,98,179,538,33.3,0,0,0,0,0,7,2,0,0,20/21
James McCarthy,ie IRL,MF,Crystal Palace,29,1990,9.1,258,342,75.4,4741,1391,107,130,82.3,104,131,79.4,37,61,60.7,0,0.3,0.4,-0.3,5,30,5,2,28,20/21
John McGinn,sct SCO,MF,Aston Villa,25,1994,37,1102,1439,76.6,21328,7785,445,520,85.6,441,532,82.9,173,278,62.2,5,3.6,2.3,1.4,42,199,36,6,221,20/21
David McGoldrick,ie IRL,FWMF,Sheffield Utd,32,1987,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,94,20/21
Dwight McNeil,eng ENG,MF,Burnley,20,1999,34.1,936,1372,68.2,16469,4663,449,522,86,302,401,75.3,136,313,43.5,5,6.2,5.8,-1.2,48,76,39,21,101,20/21
Scott McTominay,sct SCO,MF,Manchester Utd,23,1996,23.7,1139,1320,86.3,19571,5540,529,585,90.4,480,525,91.4,96,137,70.1,1,1.7,0.7,-0.7,17,115,9,2,118,20/21
Ben Mee,eng ENG,DF,Burnley,30,1989,29.9,802,1130,71,16119,6522,296,354,83.6,365,456,80,132,279,47.3,0,0.3,0.2,-0.3,5,44,1,0,54,20/21
Hannibal Mejbri,tn TUN,MF,Manchester Utd,17,2003,0.1,3,3,100,49,26,2,2,100,0,0,,1,1,100,0,0,0,0,0,1,0,0,1,20/21
Benjamin Mendy,fr FRA,DF,Manchester City,26,1994,10.6,540,666,81.1,8580,2124,272,308,88.3,222,258,86,30,58,51.7,1,0.2,0.5,0.8,5,25,10,3,29,20/21
Edouard Mendy,sn SEN,GK,Chelsea,28,1992,30.5,874,1027,85.1,18386,10937,276,280,98.6,420,425,98.8,165,307,53.7,0,0,0,0,0,2,0,0,0,20/21
Nampalys Mendy,sn SEN,MF,Leicester City,28,1992,16.2,886,976,90.8,13245,2758,471,501,94,310,342,90.6,51,63,81,1,0.2,0.3,0.8,5,75,1,0,66,20/21
Illan Meslier,fr FRA,GK,Leeds United,20,2000,35,1109,1369,81,25470,14384,262,266,98.5,579,590,98.1,264,506,52.2,0,0,0,0,1,2,0,0,0,20/21
Luka Milivojević,rs SRB,MF,Crystal Palace,29,1991,26.2,1091,1341,81.4,19143,6716,485,553,87.7,453,521,86.9,115,187,61.5,1,1.7,1.6,-0.7,21,117,10,1,120,20/21
James Milner,eng ENG,MFDF,Liverpool,34,1986,11.9,779,934,83.4,12265,3618,435,466,93.3,270,315,85.7,56,92,60.9,1,0.8,1,0.2,13,66,21,3,100,20/21
