Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,146,125,146,0,0,0,146,0,0,,0,,101,389,218,0,0,0,0,0,80,0,21/22
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,9,1,3,1,5,0,9,0,0,,0,,5,35,6,0,0,0,0,0,6,0,21/22
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,319,2,33,117,171,50,317,7,2,28.6,5,71.4,142,779,456,21,9,10,16,4,220,47,21/22
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,1087,15,149,514,450,67,1087,71,34,47.9,37,52.1,696,4590,2316,98,49,24,84,77,779,151,21/22
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1884,178,905,758,244,35,1884,37,23,62.2,14,37.8,1002,5566,3583,45,23,2,42,10,1147,51,21/22
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,2017,112,616,932,480,53,2017,19,15,78.9,4,21.1,1098,4607,2789,49,33,7,21,10,1420,132,21/22
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,401,325,399,2,0,0,401,1,1,100,0,0,214,1241,835,0,0,0,0,0,148,0,21/22
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,348,3,29,119,206,35,348,29,13,44.8,16,55.2,232,1679,693,34,14,10,33,24,244,61,21/22
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,114,25,73,38,3,0,114,1,0,0,1,100,55,340,155,1,0,0,3,1,59,0,21/22
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,22,1,2,7,13,6,22,2,0,0,2,100,8,22,8,0,0,0,4,0,14,4,21/22
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,173,10,15,83,76,33,173,7,4,57.1,3,42.9,92,486,196,8,4,3,18,3,111,24,21/22
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,418,15,83,216,126,15,418,28,19,67.9,9,32.1,252,1225,603,14,13,4,21,12,269,29,21/22
Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,2,153,0,6,49,98,7,153,8,7,87.5,1,12.5,94,715,373,14,10,0,3,7,124,17,21/22
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,302,6,22,163,120,25,301,8,5,62.5,3,37.5,139,530,215,5,5,1,37,22,224,47,21/22
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,1052,17,115,361,589,130,1052,75,31,41.3,44,58.7,732,5181,2962,107,61,48,58,43,834,237,21/22
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,86,3,27,51,9,0,86,5,1,20,4,80,47,267,57,0,2,0,9,2,53,1,21/22
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,576,65,291,218,71,6,576,1,0,0,1,100,296,1631,1014,9,4,0,2,0,325,4,21/22
