Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,season
Javier Manquillo,es ESP,DF,Newcastle Utd,23,1994,21,20,1758,19.5,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.4,29,55,33,0,0.05,0.05,0,0.05,0,0.07,0.07,0,0.07,17/18
Solly March,eng ENG,MFFW,Brighton,23,1994,36,18,1851,20.6,1,1,2,1,0,0,3,0,1.5,1.5,1.4,2.9,59,60,141,0.05,0.05,0.1,0.05,0.1,0.07,0.07,0.14,0.07,0.14,17/18
Adrian Mariappa,jm JAM,DF,Watford,30,1986,28,24,2210,24.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.8,8,60,6,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,17/18
João Mário,pt POR,MF,West Ham,24,1993,13,12,1022,11.4,2,1,3,2,0,0,0,0,1.7,1.7,1.4,3.1,34,43,74,0.18,0.09,0.26,0.18,0.26,0.15,0.12,0.27,0.15,0.27,17/18
Anthony Martial,fr FRA,FW,Manchester Utd,21,1995,30,18,1582,17.6,9,5,14,8,1,1,1,0,6.3,5.5,5.1,10.6,107,52,182,0.51,0.28,0.8,0.46,0.74,0.36,0.29,0.65,0.31,0.6,17/18
Cuco Martina,cw CUW,DF,Everton,27,1989,21,20,1830,20.3,0,2,2,0,0,0,2,0,0.1,0.1,1.4,1.5,28,68,74,0,0.1,0.1,0,0.1,0,0.07,0.07,0,0.07,17/18
Bruno Martins Indi,nl NED,DF,Stoke City,25,1992,17,14,1243,13.8,0,0,0,0,0,0,3,0,1,1,0.1,1.1,2,28,4,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,17/18
Arthur Masuaku,cd COD,DF,West Ham,23,1993,27,21,1870,20.8,0,3,3,0,0,0,5,0,0.3,0.3,2,2.2,94,56,115,0,0.14,0.14,0,0.14,0.01,0.09,0.11,0.01,0.11,17/18
Juan Mata,es ESP,FW,Manchester Utd,29,1988,28,23,1922,21.4,3,5,8,3,0,0,1,0,3.7,3.7,4.5,8.3,46,101,162,0.14,0.23,0.37,0.14,0.37,0.18,0.21,0.39,0.18,0.39,17/18
Nemanja Matić,rs SRB,MF,Manchester Utd,28,1988,36,35,3118,34.6,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,74,237,23,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07,17/18
Joël Matip,cm CMR,DF,Liverpool,25,1991,25,22,1997,22.2,1,0,1,1,0,0,3,0,1.9,1.9,0.3,2.2,23,108,5,0.05,0,0.05,0.05,0.05,0.09,0.01,0.1,0.09,0.1,17/18
Konstantinos Mavropanos,gr GRE,DF,Arsenal,19,1997,3,3,195,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,17/18
Alfie Mawson,eng ENG,DF,Swansea City,23,1994,38,38,3420,38,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.5,29,92,8,0.05,0.03,0.08,0.05,0.08,0.05,0.02,0.06,0.05,0.06,17/18
Eric Maxim Choupo-Moting,cm CMR,FWMF,Stoke City,28,1989,30,26,2314,25.7,5,5,10,5,0,0,3,0,5.9,5.9,3.1,9.1,72,56,173,0.19,0.19,0.39,0.19,0.39,0.24,0.13,0.36,0.24,0.36,17/18
Chancel Mbemba,cd COD,DF,Newcastle Utd,22,1994,9,7,672,7.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,9,21,11,0,0,0,0,0,0,0.06,0.06,0,0.06,17/18
James McArthur,sct SCO,MF,Crystal Palace,29,1987,33,27,2431,27,5,1,6,5,0,0,5,0,3.7,3.7,2.2,5.9,32,107,94,0.19,0.04,0.22,0.19,0.22,0.14,0.08,0.22,0.14,0.22,17/18
Gareth McAuley,nir NIR,DF,West Brom,37,1979,9,5,458,5.1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,17/18
Oliver McBurnie,sct SCO,FWMF,Swansea City,21,1996,11,2,276,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.7,1.1,4,9,26,0,0.33,0.33,0,0.33,0.14,0.22,0.36,0.14,0.36,17/18
Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1620,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
James McCarthy,ie IRL,MF,Everton,26,1990,4,3,205,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,12,4,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,17/18
James McClean,ie IRL,MFFW,West Brom,28,1989,30,14,1406,15.6,1,0,1,1,0,0,7,0,1.8,1.8,0.8,2.7,49,12,94,0.06,0,0.06,0.06,0.06,0.12,0.05,0.17,0.12,0.17,17/18
Sam McQueen,eng ENG,DFMF,Southampton,22,1995,7,1,148,1.6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,7,4,5,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11,17/18
Scott McTominay,sct SCO,MF,Manchester Utd,20,1996,13,7,634,7,0,0,0,0,0,0,2,0,0,0,0,0.1,11,48,8,0,0,0,0,0,0,0.01,0.01,0,0.01,17/18
Ben Mee,eng ENG,DF,Burnley,27,1989,29,29,2610,29,0,0,0,0,0,0,5,0,1.9,1.9,0.5,2.3,5,77,3,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,17/18
Benjamin Mendy,fr FRA,DFFW,Manchester City,23,1994,7,4,363,4,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,21,27,62,0,0.25,0.25,0,0.25,0.03,0.19,0.23,0.03,0.23,17/18
Mikel Merino,es ESP,MF,Newcastle Utd,21,1996,24,14,1347,15,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,25,108,15,0.07,0.07,0.13,0.07,0.13,0.04,0.06,0.1,0.04,0.1,17/18
Per Mertesacker,de GER,DF,Arsenal,32,1984,6,4,366,4.1,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,6,1,0.25,0,0.25,0.25,0.25,0.05,0,0.05,0.05,0.05,17/18
Roque Mesa,es ESP,MF,Swansea City,28,1989,11,9,754,8.4,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,12,36,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,17/18
Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,19,1710,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Luka Milivojević,rs SRB,MF,Crystal Palace,26,1991,36,35,3080,34.2,10,1,11,3,7,8,8,0,8.2,1.8,1,2.9,24,180,18,0.29,0.03,0.32,0.09,0.12,0.24,0.03,0.27,0.05,0.08,17/18
James Milner,eng ENG,MF,Liverpool,31,1986,32,16,1775,19.7,0,3,3,0,0,0,3,0,1.1,1.1,3.2,4.3,59,219,163,0,0.15,0.15,0,0.15,0.05,0.16,0.22,0.05,0.22,17/18
Tyrone Mings,eng ENG,DF,Bournemouth,24,1993,4,3,201,2.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,8,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,17/18
Kevin Mirallas,be BEL,FWMF,Everton,29,1987,5,2,138,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,10,3,11,0,0,0,0,0,0.12,0.04,0.16,0.12,0.16,17/18
Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,22,1994,6,0,95,1.1,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.3,4,3,15,0.95,0,0.95,0.95,0.95,1.14,0.15,1.29,1.14,1.29,17/18
Henrikh Mkhitaryan,am ARM,FWMF,Arsenal,28,1989,11,9,794,8.8,2,4,6,2,0,0,0,0,1.5,1.5,2.8,4.2,34,55,81,0.23,0.45,0.68,0.23,0.68,0.17,0.31,0.48,0.17,0.48,17/18
Henrikh Mkhitaryan,am ARM,MFFW,Manchester Utd,28,1989,15,11,922,10.2,1,5,6,1,0,0,2,0,0.8,0.8,3,3.8,40,61,69,0.1,0.49,0.59,0.1,0.59,0.07,0.29,0.37,0.07,0.37,17/18
Nacho Monreal,es ESP,DF,Arsenal,31,1986,28,26,2243,24.9,5,2,7,5,0,0,3,0,1.7,1.7,2.6,4.3,41,138,73,0.2,0.08,0.28,0.2,0.28,0.07,0.11,0.17,0.07,0.17,17/18
Aaron Mooy,au AUS,MF,Huddersfield,26,1990,36,34,3067,34.1,4,3,7,3,1,1,4,0,3,2.2,4,6.2,55,239,77,0.12,0.09,0.21,0.09,0.18,0.09,0.12,0.2,0.06,0.18,17/18
Álvaro Morata,es ESP,FW,Chelsea,24,1992,31,24,2061,22.9,11,6,17,11,0,0,7,0,13,13,3.1,16,54,46,228,0.48,0.26,0.74,0.48,0.74,0.57,0.13,0.7,0.57,0.7,17/18
Alberto Moreno,es ESP,DF,Liverpool,25,1992,16,14,1266,14.1,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,32,59,81,0,0,0,0,0,0.04,0.06,0.09,0.04,0.09,17/18
Wes Morgan,jm JAM,DF,Leicester City,33,1984,32,32,2817,31.3,0,0,0,0,0,0,4,0,1.6,1.6,0.4,2,13,50,11,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,17/18
James Morrison,sct SCO,MF,West Brom,31,1986,4,2,207,2.3,1,0,1,1,0,0,0,0,1,1,0.1,1.1,1,11,16,0.43,0,0.43,0.43,0.43,0.44,0.04,0.49,0.44,0.49,17/18
Victor Moses,ng NGA,DFMF,Chelsea,26,1990,28,25,2110,23.4,3,3,6,3,0,0,3,0,3,3,2.4,5.4,95,66,203,0.13,0.13,0.26,0.13,0.26,0.13,0.1,0.23,0.13,0.23,17/18
Steve Mounié,bj BEN,FW,Huddersfield,22,1994,28,21,1855,20.6,7,1,8,7,0,0,2,0,5.2,5.2,1.8,7,13,27,93,0.34,0.05,0.39,0.34,0.39,0.25,0.09,0.34,0.25,0.34,17/18
Lucas Moura,br BRA,FWMF,Tottenham,24,1992,6,2,210,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,15,12,37,0,0.43,0.43,0,0.43,0.08,0.11,0.18,0.08,0.18,17/18
Lys Mousset,fr FRA,FWMF,Bournemouth,21,1996,23,4,596,6.6,2,0,2,2,0,0,1,0,1.2,1.2,0.8,2.1,18,16,53,0.3,0,0.3,0.3,0.3,0.18,0.13,0.31,0.18,0.31,17/18
Jacob Murphy,eng ENG,MFFW,Newcastle Utd,22,1995,25,13,1148,12.8,1,1,2,1,0,0,0,0,1.8,1.8,1.3,3.1,48,32,85,0.08,0.08,0.16,0.08,0.16,0.14,0.1,0.24,0.14,0.24,17/18
Jamie Murphy,sct SCO,MF,Brighton,27,1989,4,1,168,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,4,14,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,17/18
Glenn Murray,eng ENG,FW,Brighton,33,1983,35,25,2192,24.4,12,0,12,8,4,6,9,0,11.9,7.5,1.6,9.1,12,38,138,0.49,0,0.49,0.33,0.33,0.49,0.07,0.55,0.31,0.37,17/18
Charly Musonda Jr.,be BEL,FW,Chelsea,20,1996,3,0,37,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,1,1,4,0,0,0,0,0,0.4,1.27,1.67,0.4,1.67,17/18
Shkodran Mustafi,de GER,DF,Arsenal,25,1992,27,25,2273,25.3,3,1,4,3,0,0,6,0,0.8,0.8,1.3,2.1,12,92,9,0.12,0.04,0.16,0.12,0.16,0.03,0.05,0.08,0.03,0.08,17/18
Boaz Myhill,wls WAL,GK,West Brom,34,1982,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,22,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,17/18
Georges-Kévin N'Koudou,cm CMR,MFFW,Burnley,22,1995,8,2,228,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,13,5,15,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,17/18
Luciano Narsingh,nl NED,FWMF,Swansea City,26,1990,18,5,625,6.9,1,0,1,1,0,0,0,0,0.8,0.8,1.1,2,30,15,73,0.14,0,0.14,0.14,0.14,0.12,0.16,0.28,0.12,0.28,17/18
Kyle Naughton,eng ENG,DF,Swansea City,28,1988,34,34,3030,33.7,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,50,193,88,0,0.06,0.06,0,0.06,0.01,0.01,0.03,0.01,0.03,17/18
Badou Ndiaye,sn SEN,MF,Stoke City,26,1990,13,13,1138,12.6,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,12,46,20,0.16,0.08,0.24,0.16,0.24,0.13,0.02,0.15,0.13,0.15,17/18
Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,33,33,2898,32.2,0,3,3,0,0,0,8,4,2.1,2.1,0.6,2.6,30,136,48,0,0.09,0.09,0,0.09,0.06,0.02,0.08,0.06,0.08,17/18
Reiss Nelson,eng ENG,FWMF,Arsenal,17,1999,3,2,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,8,13,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,17/18
Julien Ngoy,be BEL,MF,Stoke City,19,1997,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17/18
Oumar Niasse,sn SEN,FW,Everton,27,1990,22,10,1087,12.1,8,2,10,8,0,0,2,0,7,7,1.4,8.4,21,17,106,0.66,0.17,0.83,0.66,0.83,0.58,0.11,0.69,0.58,0.69,17/18
Eddie Nketiah,eng ENG,FW,Arsenal,18,1999,3,0,20,0.2,0,1,1,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,4.5,4.5,0,4.5,0.29,0,0.29,0.29,0.29,17/18
Lukas Nmecha,de GER,FW,Manchester City,18,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Mark Noble,eng ENG,MF,West Ham,30,1987,29,28,2400,26.7,4,0,4,2,2,2,6,0,2.4,0.8,1.8,2.6,10,143,25,0.15,0,0.15,0.07,0.07,0.09,0.07,0.16,0.03,0.1,17/18
Allan Nyom,cm CMR,DF,West Brom,29,1988,29,25,2310,25.7,0,1,1,0,0,0,7,0,0.1,0.1,1.1,1.2,36,58,71,0,0.04,0.04,0,0.04,0,0.04,0.05,0,0.05,17/18
Aiden O'Neill,au AUS,MF,Burnley,19,1998,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,17/18
Michael Obafemi,ie IRL,FW,Southampton,17,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,1,0,0,0,0,0,3.73,0,3.73,3.73,3.73,17/18
Pedro Obiang,gq EQG,MF,West Ham,25,1992,21,18,1563,17.4,2,0,2,2,0,0,3,0,0.4,0.4,0.4,0.8,10,77,10,0.12,0,0.12,0.12,0.12,0.02,0.02,0.04,0.02,0.04,17/18
Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32,32,2880,32,1,0,1,1,0,0,3,0,0.7,0.7,0.5,1.1,4,44,4,0.03,0,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.04,17/18
Stefano Okaka,it ITA,FW,Watford,27,1989,15,3,453,5,1,1,2,1,0,0,2,0,1.8,1.8,0.4,2.2,8,10,48,0.2,0.2,0.4,0.2,0.4,0.36,0.07,0.43,0.36,0.43,17/18
Shinji Okazaki,jp JPN,FWMF,Leicester City,31,1986,27,17,1324,14.7,6,2,8,6,0,0,2,0,6.7,6.7,2,8.7,19,24,61,0.41,0.14,0.54,0.41,0.54,0.45,0.14,0.59,0.45,0.59,17/18
Martin Olsson,se SWE,DF,Swansea City,29,1988,36,36,3149,35,0,1,1,0,0,0,7,0,0.9,0.9,0.8,1.7,112,87,143,0,0.03,0.03,0,0.03,0.03,0.02,0.05,0.03,0.05,17/18
Divock Origi,be BEL,FW,Liverpool,22,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,34,33,2967,33,4,0,4,4,0,0,9,0,2.7,2.7,0.9,3.6,92,212,8,0.12,0,0.12,0.12,0.12,0.08,0.03,0.11,0.08,0.11,17/18
Reece Oxford,eng ENG,MF,West Ham,18,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Alex Oxlade-Chamberlain,eng ENG,DF,Arsenal,23,1993,3,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,19,16,21,0,0,0,0,0,0.09,0.19,0.29,0.09,0.29,17/18
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,23,1993,32,14,1493,16.6,3,7,10,3,0,0,3,0,2.2,2.2,3.8,5.9,76,120,122,0.18,0.42,0.6,0.18,0.6,0.13,0.23,0.36,0.13,0.36,17/18
Mesut Özil,de GER,MFFW,Arsenal,28,1988,26,24,2163,24,4,8,12,4,0,0,4,0,4.4,4.4,8.7,13.1,136,277,267,0.17,0.33,0.5,0.17,0.5,0.18,0.36,0.55,0.18,0.55,17/18
Kasey Palmer,jm JAM,MFFW,Huddersfield,20,1996,4,1,170,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,6,5,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,17/18
Emerson Palmieri,it ITA,DF,Chelsea,22,1994,5,3,280,3.1,0,1,1,0,0,0,0,0,0.1,0.1,0,0.2,13,5,23,0,0.32,0.32,0,0.32,0.04,0.01,0.05,0.04,0.05,17/18
Pedro,es ESP,MFFW,Chelsea,30,1987,31,17,1523,16.9,4,2,6,4,0,0,1,0,3,3,1.3,4.3,66,56,135,0.24,0.12,0.35,0.24,0.35,0.18,0.07,0.25,0.18,0.25,17/18
Roberto Pereyra,ar ARG,MFFW,Watford,26,1991,32,18,1624,18,5,2,7,5,0,0,3,0,3.3,3.3,3,6.3,61,79,112,0.28,0.11,0.39,0.28,0.39,0.18,0.17,0.35,0.18,0.35,17/18
Ayoze Pérez,es ESP,MFFW,Newcastle Utd,24,1993,36,28,2492,27.7,8,5,13,8,0,0,3,0,6.2,6.2,4.7,10.9,68,75,178,0.29,0.18,0.47,0.29,0.47,0.22,0.17,0.39,0.22,0.39,17/18
Matt Phillips,sct SCO,MFDF,West Brom,26,1991,30,23,2093,23.3,2,2,4,2,0,0,3,0,2.4,2.4,4.1,6.5,85,31,146,0.09,0.09,0.17,0.09,0.17,0.1,0.18,0.28,0.1,0.28,17/18
Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Jérémy Pied,fr FRA,DF,Southampton,28,1989,2,2,180,2,0,1,1,0,0,0,0,0,0,0,0.2,0.2,7,13,5,0,0.5,0.5,0,0.5,0.02,0.08,0.1,0.02,0.1,17/18
Erik Pieters,nl NED,DF,Stoke City,28,1988,31,30,2718,30.2,0,1,1,0,0,0,5,0,0.1,0.1,1.5,1.6,35,113,71,0,0.03,0.03,0,0.03,0,0.05,0.05,0,0.05,17/18
Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,27,25,2148,23.9,6,10,16,6,0,0,5,1,7.7,7.7,4.5,12.2,95,250,92,0.25,0.42,0.67,0.25,0.67,0.32,0.19,0.51,0.32,0.51,17/18
Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,3115,34.6,0,0,0,0,0,0,3,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,17/18
Alex Pritchard,eng ENG,MFFW,Huddersfield,24,1993,14,12,998,11.1,1,1,2,1,0,0,1,0,1.2,1.2,1.9,3.1,24,44,70,0.09,0.09,0.18,0.09,0.18,0.11,0.17,0.28,0.11,0.28,17/18
Sebastian Prödl,at AUT,DF,Watford,30,1987,21,17,1570,17.4,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.9,4,40,2,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,17/18
Davy Pröpper,nl NED,MF,Brighton,25,1991,35,35,3119,34.7,0,4,4,0,0,0,2,1,1.9,1.9,1.4,3.4,20,188,47,0,0.12,0.12,0,0.12,0.06,0.04,0.1,0.06,0.1,17/18
Marc Pugh,eng ENG,MFFW,Bournemouth,30,1987,20,11,985,10.9,0,0,0,0,0,0,2,0,1.3,1.3,0.5,1.9,40,52,103,0,0,0,0,0,0.12,0.05,0.17,0.12,0.17,17/18
Jason Puncheon,eng ENG,MF,Crystal Palace,31,1986,10,6,645,7.2,0,0,0,0,0,0,5,0,1.2,1.2,0.5,1.7,8,31,19,0,0,0,0,0,0.19,0.07,0.26,0.19,0.26,17/18
Collin Quaner,de GER,FWMF,Huddersfield,26,1991,26,13,1280,14.2,0,4,4,0,0,0,4,0,1.4,1.4,2.5,3.9,56,44,85,0,0.28,0.28,0,0.28,0.1,0.18,0.28,0.1,0.28,17/18
Sandro Ramírez,es ESP,FWMF,Everton,22,1995,8,3,278,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,8,21,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16,17/18
Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,24,21,1846,20.5,7,8,15,7,0,0,0,0,6.1,6.1,5.4,11.5,61,134,161,0.34,0.39,0.73,0.34,0.73,0.3,0.26,0.56,0.3,0.56,17/18
Àngel Rangel,es ESP,DF,Swansea City,34,1982,4,2,156,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,11,11,0,0,0,0,0,0,0.04,0.04,0,0.04,17/18
Marcus Rashford,eng ENG,FWMF,Manchester Utd,19,1997,35,17,1813,20.1,7,5,12,7,0,0,3,0,5.2,5.2,3.8,9,82,46,160,0.35,0.25,0.6,0.35,0.6,0.26,0.19,0.45,0.26,0.45,17/18
Nathan Redmond,eng ENG,FWMF,Southampton,23,1994,31,22,1945,21.6,1,3,4,1,0,0,3,0,2.2,2.2,3.6,5.8,84,94,182,0.05,0.14,0.19,0.05,0.19,0.1,0.17,0.27,0.1,0.27,17/18
Winston Reid,nz NZL,DF,West Ham,29,1988,17,17,1452,16.1,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,3,39,6,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,17/18
Declan Rice,eng ENG,DFMF,West Ham,18,1999,26,15,1430,15.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,18,36,6,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,17/18
Richarlison,br BRA,FWMF,Watford,20,1997,38,32,2823,31.4,5,4,9,5,0,0,4,0,10.3,10.3,3.4,13.7,126,73,306,0.16,0.13,0.29,0.16,0.29,0.33,0.11,0.44,0.33,0.44,17/18
Jaïro Riedewald,nl NED,MFDF,Crystal Palace,20,1996,12,4,442,4.9,0,0,0,0,0,0,0,0,0,0,0,0,2,16,7,0,0,0,0,0,0.01,0,0.01,0.01,0.01,17/18
Matt Ritchie,sct SCO,MFFW,Newcastle Utd,27,1989,35,32,2804,31.2,3,5,8,3,0,0,6,0,3.1,3.1,6,9.1,53,93,139,0.1,0.16,0.26,0.1,0.26,0.1,0.19,0.29,0.1,0.29,17/18
Connor Roberts,wls WAL,DF,Swansea City,21,1995,4,3,268,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,0,0,17/18
Andrew Robertson,sct SCO,DF,Liverpool,23,1994,22,22,1940,21.6,1,5,6,1,0,0,2,0,0.5,0.5,4.1,4.7,76,150,214,0.05,0.23,0.28,0.05,0.28,0.03,0.19,0.22,0.03,0.22,17/18
Hal Robson-Kanu,wls WAL,FWMF,West Brom,28,1989,21,8,827,9.2,2,0,2,2,0,0,2,1,2.4,2.4,0.4,2.8,17,24,63,0.22,0,0.22,0.22,0.22,0.26,0.04,0.31,0.26,0.31,17/18
Jay Rodriguez,eng ENG,FWMF,West Brom,28,1989,37,31,2812,31.2,7,1,8,6,1,1,2,0,8.4,7.6,1.6,9.2,47,52,166,0.22,0.03,0.26,0.19,0.22,0.27,0.05,0.32,0.24,0.3,17/18
Marcos Rojo,ar ARG,DF,Manchester Utd,27,1990,9,8,640,7.1,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.2,3,13,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,17/18
Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Oriol Romeu,es ESP,MF,Southampton,25,1991,34,34,2897,32.2,1,0,1,1,0,0,11,0,2.6,2.6,1.4,4,44,201,16,0.03,0,0.03,0.03,0.03,0.08,0.04,0.13,0.08,0.13,17/18
Salomón Rondón,ve VEN,FW,West Brom,27,1989,36,32,2767,30.7,7,3,10,7,0,0,4,0,7,7,2.8,9.8,45,66,201,0.23,0.1,0.33,0.23,0.33,0.23,0.09,0.32,0.23,0.32,17/18
Wayne Rooney,eng ENG,MFFW,Everton,31,1985,31,27,2268,25.2,10,2,12,7,3,6,5,0,8.6,3.8,2.2,6,26,122,91,0.4,0.08,0.48,0.28,0.36,0.34,0.09,0.43,0.15,0.24,17/18
Danny Rose,eng ENG,DF,Tottenham,27,1990,10,9,800,8.9,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,36,56,77,0,0.11,0.11,0,0.11,0.07,0.07,0.14,0.07,0.14,17/18
Liam Rosenior,eng ENG,DF,Brighton,33,1984,3,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,5,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,17/18
Wayne Routledge,eng ENG,MFFW,Swansea City,32,1985,15,4,429,4.8,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,17,36,0,0,0,0,0,0.09,0.09,0.17,0.09,0.17,17/18
Antonio Rüdiger,de GER,DF,Chelsea,24,1993,27,25,2338,26,2,1,3,2,0,0,4,0,1.7,1.7,0.4,2.1,33,121,7,0.08,0.04,0.12,0.08,0.12,0.07,0.01,0.08,0.07,0.08,17/18
Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18
Abdelhamid Sabiri,ma MAR,MF,Huddersfield,20,1996,5,2,220,2.4,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,2,13,8,0,0.41,0.41,0,0.41,0.11,0.06,0.17,0.11,0.17,17/18
Henri Saivet,sn SEN,MF,Newcastle Utd,26,1990,1,1,83,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,1,0,1.08,0,1.08,1.08,1.08,0.05,0,0.05,0.05,0.05,17/18
