Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,season
Cesc Fàbregas,es ESP,MF,Chelsea,29,1987,29,13,1339,14.9,5,12,17,5,0,0,8,0,,,,,,,,0.34,0.81,1.14,0.34,1.14,,,,,,16/17
Adam Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,2,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Sofiane Feghouli,dz ALG,MFFW,West Ham,26,1989,21,11,1041,11.6,3,2,5,3,0,0,1,1,,,,,,,,0.26,0.17,0.43,0.26,0.43,,,,,,16/17
Marouane Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,1605,17.8,1,0,1,1,0,0,9,1,,,,,,,,0.06,0,0.06,0.06,0.06,,,,,,16/17
Leroy Fer,nl NED,MF,Swansea City,26,1990,34,27,2404,26.7,6,2,8,6,0,0,9,0,,,,,,,,0.22,0.07,0.3,0.22,0.3,,,,,,16/17
Edimilson Fernandes,ch SUI,MF,West Ham,20,1996,28,8,1001,11.1,0,1,1,0,0,0,4,0,,,,,,,,0,0.09,0.09,0,0.09,,,,,,16/17
Federico Fernández,ar ARG,DF,Swansea City,27,1989,27,27,2430,27,0,2,2,0,0,0,7,0,,,,,,,,0,0.07,0.07,0,0.07,,,,,,16/17
Fernandinho,br BRA,MFDF,Manchester City,31,1985,32,31,2756,30.6,2,1,3,2,0,0,4,2,,,,,,,,0.07,0.03,0.1,0.07,0.1,,,,,,16/17
Fernando,br BRA,MFDF,Manchester City,29,1987,15,5,568,6.3,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Sam Field,eng ENG,MF,West Brom,18,1998,8,4,275,3.1,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Roberto Firmino,br BRA,FW,Liverpool,24,1991,35,34,3062,34,11,7,18,11,0,0,5,0,,,,,,,,0.32,0.21,0.53,0.32,0.53,,,,,,16/17
Viktor Fischer,dk DEN,FWMF,Middlesbrough,22,1994,13,6,438,4.9,0,3,3,0,0,0,0,0,,,,,,,,0,0.62,0.62,0,0.62,,,,,,16/17
Mathieu Flamini,fr FRA,MF,Crystal Palace,32,1984,10,3,274,3,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Jon Flanagan,eng ENG,DF,Burnley,23,1993,6,3,360,4,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Ashley Fletcher,eng ENG,FW,West Ham,20,1995,16,2,367,4.1,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Darren Fletcher,sct SCO,MF,West Brom,32,1984,38,37,3231,35.9,2,3,5,2,0,0,0,0,,,,,,,,0.06,0.08,0.14,0.06,0.14,,,,,,16/17
Michael Folivi,eng ENG,FW,Watford,18,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
José Fonte,pt POR,DF,Southampton,32,1983,17,17,1530,17,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
José Fonte,pt POR,DF,West Ham,32,1983,16,16,1404,15.6,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Adam Forshaw,eng ENG,MF,Middlesbrough,24,1991,34,30,2695,29.9,0,1,1,0,0,0,4,0,,,,,,,,0,0.03,0.03,0,0.03,,,,,,16/17
Fraser Forster,eng ENG,GK,Southampton,28,1988,38,38,3420,38,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Ben Foster,eng ENG,GK,West Brom,33,1983,38,38,3420,38,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,18,1998,4,1,97,1.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Simon Francis,eng ENG,DF,Bournemouth,31,1985,34,34,2939,32.7,0,1,1,0,0,0,4,1,,,,,,,,0,0.03,0.03,0,0.03,,,,,,16/17
Ryan Fraser,sct SCO,MF,Bournemouth,22,1994,28,19,1764,19.6,3,5,8,3,0,0,3,0,,,,,,,,0.15,0.26,0.41,0.15,0.41,,,,,,16/17
George Friend,eng ENG,DF,Middlesbrough,28,1987,24,20,1964,21.8,0,2,2,0,0,0,4,0,,,,,,,,0,0.09,0.09,0,0.09,,,,,,16/17
Zeki Fryers,eng ENG,DF,Crystal Palace,23,1992,8,0,188,2.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Christian Fuchs,at AUT,DF,Leicester City,30,1986,36,35,3103,34.5,2,3,5,2,0,0,10,0,,,,,,,,0.06,0.09,0.15,0.06,0.15,,,,,,16/17
Jay Fulton,sct SCO,MF,Swansea City,22,1994,11,9,690,7.7,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
