Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_pk,season
Bernd Leno,de GER,GK,Arsenal,27,1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3,19/20
Hugo Lloris,fr FRA,GK,Tottenham,32,1986,21,21,1807,20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3,19/20
David Martin,eng ENG,GK,West Ham,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50,0,0,0,0,,19/20
Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,9,8,771,8.6,9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,0,19/20
Alex McCarthy,eng ENG,GK,Southampton,29,1989,28,28,2520,28,35,1.25,113,78,69.9,13,5,10,7,25,2,1,1,0,50,19/20
Michael McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,1.8,6,3.4,13,6,53.8,0,0,1,0,0,1,0,1,0,100,19/20
Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,2,6,3,11,5,45.5,0,1,1,0,0,0,0,0,0,,19/20
Ørjan Nyland,no NOR,GK,Aston Villa,28,1990,7,5,539,6,12,2,27,15,55.6,0,2,3,1,20,0,0,0,0,,19/20
Rui Patrício,pt POR,GK,Wolves,31,1988,38,38,3420,38,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,19/20
Jordan Pickford,eng ENG,GK,Everton,25,1994,38,38,3420,38,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0,19/20
Nick Pope,eng ENG,GK,Burnley,27,1992,38,38,3420,38,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20,19/20
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,37,3330,37,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7,19/20
Darren Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,2,5,2.5,11,6,63.6,0,1,1,0,0,1,1,0,0,0,19/20
Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,12,1080,12,20,1.67,53,32,66,3,3,6,2,16.7,3,2,1,0,33.3,19/20
Roberto,es ESP,GK,West Ham,33,1986,8,7,687,7.6,17,2.23,51,35,68.6,0,1,6,0,0,1,1,0,0,0,19/20
Mathew Ryan,au AUS,GK,Brighton,27,1992,38,38,3420,38,54,1.42,168,116,69,9,14,15,9,23.7,2,2,0,0,0,19/20
Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,38,3420,38,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20,19/20
Jed Steer,eng ENG,GK,Aston Villa,26,1992,1,1,7,0.1,,,,,,,,1,,,,,,,,19/20
Mark Travers,ie IRL,GK,Bournemouth,20,1999,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,19/20
Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,18/19
Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50,18/19
Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0,18/19
Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7,20,2.86,40,19,52.5,1,2,4,0,0,3,1,1,1,50,18/19
