"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"27",2016,"2017-01-27",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Cruz Azul",44.52,42.13,0.4677,0.2603,0.272,1.56,1.13,NA,NA,1,0,0.29,0.71,0.49,0.8,1.05,0,0,0,0
"28",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Guadalajara",37.65,39.29,0.4173,0.2867,0.2959,1.31,1.06,NA,NA,0,1,1.2,1.37,0.43,1.09,0,1.05,0,0,0
"29",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Atlas","Morelia",37.98,39.49,0.4261,0.3019,0.2719,1.55,1.29,NA,NA,3,1,1.9,1.12,1.38,1.34,3.15,1.05,0,0,0
"30",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Monterrey","León",46.74,43.1,0.4728,0.2755,0.2517,1.89,1.4,NA,NA,0,0,0.44,0.59,0.51,1.17,0,0,0,0,0
"31",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Pachuca","Toluca",47.38,41.6,0.4946,0.2465,0.2588,1.75,1.18,NA,NA,0,0,0.94,1.12,0.92,1.33,0,0,0,0,0
"32",2016,"2017-01-28",1975,"Mexican Primera Division Torneo Clausura","Club América","Veracruz",44.88,34.67,0.5383,0.2189,0.2428,2.01,1.19,NA,NA,1,0,1.84,1.2,0.75,1,1.05,0,0,0,0
"33",2016,"2017-01-29",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Necaxa",41.83,40.59,0.456,0.2646,0.2794,1.46,1.12,NA,NA,3,1,1.27,0.37,1.16,0.32,2.65,1.05,0,0,0
"34",2016,"2017-01-29",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","Tigres UANL",33.03,45.97,0.2765,0.4381,0.2854,1.15,1.39,NA,NA,1,0,1.03,1.9,1.08,1.47,1.05,0,0,0,0
"35",2016,"2017-01-29",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Puebla",38.5,35.62,0.4724,0.2673,0.2603,1.75,1.28,NA,NA,2,0,2.07,0.73,1.92,1.25,1.8,0,0,0,0
"36",2016,"2017-02-03",1975,"Mexican Primera Division Torneo Clausura","Puebla","Atlas",34.55,39.1,0.397,0.3355,0.2675,1.56,1.48,NA,NA,1,1,1.84,0.37,1.15,0.38,1.05,1.05,0,0,0
"37",2016,"2017-02-03",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Chiapas FC",34.64,33.38,0.4691,0.2545,0.2764,1.53,1.17,NA,NA,2,0,1.85,0.72,1.86,1.62,1.77,0,0,0,0
"38",2016,"2017-02-04",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Querétaro",42.04,36.38,0.5013,0.2191,0.2796,1.48,0.94,NA,NA,1,1,1.84,0.46,1.48,0.61,1.05,1.05,0,0,0
"39",2016,"2017-02-04",1975,"Mexican Primera Division Torneo Clausura","Morelia","Club América",38.47,44.7,0.3785,0.3546,0.2668,1.53,1.51,NA,NA,0,2,0.68,2.33,0.63,2.14,0,1.78,0,0,0
"40",2016,"2017-02-04",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","Toluca",45.49,42.11,0.4759,0.2484,0.2757,1.51,1.04,NA,NA,0,1,0.55,0.38,0.45,0.2,0,1.05,0,0,0
