first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,season,now_cost,element_type
Andy,King,1,0,41,1446,26,122.7,258.4,167,1,217,54.9,1,0,4,0.2,16/17,NA,NA
Daniel,Drinkwater,1,1,69,2466,44,307.1,401.8,213,3,384,92,8,0,6,3.6,16/17,NA,NA
Gokhan,Inler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Demarai,Gray,1,4,58,1049,20,268.8,220.4,233,0,210,72.2,4,0,2,0.5,16/17,NA,NA
Daniel,Amartey,1,1,53,1673,35,204,254.4,109,3,262,57,4,0,3,0.2,16/17,NA,NA
Nampalys,Mendy,0,0,6,269,5,24.9,16.8,0,0,26,4,1,0,1,0.3,16/17,NA,NA
Jamie,Vardy,13,8,161,2801,57,450.4,629.8,955,24,555,202.5,7,1,2,13.9,16/17,NA,NA
Leonardo,Ulloa,1,0,24,447,5,55.7,60.8,262,1,56,37.4,2,0,0,0.1,16/17,NA,NA
Shinji,Okazaki,3,1,63,1565,26,262,181.2,471,3,220,90.4,7,0,1,1.6,16/17,NA,NA
Ahmed,Musa,2,0,39,761,20,120.8,132.6,232,5,131,47.7,1,0,1,3,16/17,NA,NA
Simon,Mignolet,0,0,110,2520,30,0,461.2,0,7,506,46,9,0,0,3.5,16/17,NA,NA
Loris,Karius,0,0,32,900,12,0,149.4,0,0,153,15,3,0,0,0.7,16/17,NA,NA
Mamadou,Sakho,0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6,16/17,NA,NA
Dejan,Lovren,2,1,106,2553,31,119.2,715.4,236,6,589,107.1,11,0,6,5.6,16/17,NA,NA
Alberto,Moreno,0,1,15,305,7,78.3,64.6,32,1,79,17.5,0,0,1,1.4,16/17,NA,NA
Nathaniel,Clyne,0,2,129,3323,41,716.5,512,294,13,735,152.4,12,0,0,10.3,16/17,NA,NA
Jon,Flanagan,0,0,9,360,4,16.4,63.8,0,0,55,8,1,0,2,0.2,16/17,NA,NA
