player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Victor Anichebe,NGA,FW,Sunderland,28,1988,18,14,1219,13.5,3,0,3,3,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0.22,0,0.22,0.22,0.22,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michail Antonio,JAM,MF,West Ham,26,1990,29,29,2434,27,9,3,12,9,0,0,5,2,NA,NA,NA,NA,NA,NA,NA,0.33,0.11,0.44,0.33,0.44,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ikechi Anya,SCO,FW,Watford,28,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álvaro Arbeloa,ESP,DF,West Ham,33,1983,3,1,258,2.9,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Arfield,CAN,MF,Burnley,27,1988,31,23,2102,23.4,1,1,2,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.09,0.04,0.09,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marko Arnautović,AUT,MF,Stoke City,27,1989,32,32,2714,30.2,6,5,11,6,0,1,9,1,NA,NA,NA,NA,NA,NA,NA,0.2,0.17,0.36,0.2,0.36,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Arter,IRL,MF,AFC Bournemouth,26,1989,35,33,2957,32.9,1,3,4,1,0,1,12,2,NA,NA,NA,NA,NA,NA,NA,0.03,0.09,0.12,0.03,0.12,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joel Asoro,SWE,FW,Sunderland,17,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Austin,ENG,FW,Southampton,27,1989,15,11,934,10.4,6,1,7,4,2,2,1,0,NA,NA,NA,NA,NA,NA,NA,0.58,0.1,0.67,0.39,0.48,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Ayala,ESP,DF,Middlesbrough,25,1990,14,11,918,10.2,1,0,1,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
André Ayew,GHA,MF,West Ham,26,1989,25,16,1438,16,6,3,9,6,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.38,0.19,0.56,0.38,0.56,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Ayew,GHA,FW,Swansea City,24,1991,14,9,866,9.6,1,2,3,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.1,0.21,0.31,0.1,0.31,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
César Azpilicueta,ESP,DF,Chelsea,26,1989,38,38,3420,38,1,4,5,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,0.03,0.11,0.13,0.03,0.13,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Bailly,CIV,DF,Manchester United,22,1994,25,24,2058,22.9,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leighton Baines,ENG,DF,Everton,31,1984,32,32,2819,31.3,2,3,5,0,2,3,4,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.1,0.16,0,0.1,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Bamford,ENG,FW,Middlesbrough,22,1993,8,2,287,3.2,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.31,0,0.31,0.31,0.31,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Bamford,ENG,FW,Burnley,22,1993,6,0,39,0.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phil Bardsley,SCO,DF,Stoke City,31,1985,15,14,1168,13,0,0,0,0,0,0,5,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ross Barkley,ENG,MF,Everton,22,1993,36,32,2899,32.2,5,8,13,5,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.16,0.25,0.4,0.16,0.4,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashley Barnes,ENG,FW,Burnley,26,1989,28,20,1773,19.7,6,2,8,4,2,2,7,2,NA,NA,NA,NA,NA,NA,NA,0.3,0.1,0.41,0.2,0.3,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Barragán,ESP,DF,Middlesbrough,29,1987,26,26,2193,24.4,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modou Barrow,GAM,MF,Swansea City,23,1992,18,12,1145,12.7,0,2,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.16,0.16,0,0.16,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gareth Barry,ENG,MF,Everton,35,1981,33,23,2108,23.4,2,1,3,2,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,0.09,0.04,0.13,0.09,0.13,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Barton,ENG,MF,Burnley,33,1982,14,12,1105,12.3,1,0,1,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,0.08,0,0.08,0.08,0.08,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borja Bastón,ESP,FW,Swansea City,23,1992,18,4,561,6.2,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.16,0,0.16,0.16,0.16,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
