player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Jonjo Shelvey,ENG,MF,Newcastle United,25,1992,30,25,2270,25.2,1,3,4,1,0,0,3,3,2.4,2.4,2.5,4.9,31,183,23,0.04,0.12,0.16,0.04,0.16,0.09,0.1,0.19,0.09,0.19,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gylfi Sigurðsson,ISL,MF,Everton,27,1989,27,25,2259,25.1,4,3,7,4,0,0,2,0,3,3,3.9,6.9,29,77,110,0.16,0.12,0.28,0.16,0.28,0.12,0.16,0.28,0.12,0.28,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrien Silva,POR,MF,Leicester City,28,1989,12,9,761,8.5,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,12,55,15,0,0.12,0.12,0,0.12,0.04,0.1,0.14,0.04,0.14,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernardo Silva,POR,FW,Manchester City,22,1994,35,15,1533,17,6,4,10,6,0,0,0,0,3.8,3.5,2.8,6.3,80,80,218,0.35,0.23,0.59,0.35,0.59,0.22,0.16,0.39,0.2,0.37,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Silva,ESP,MF,Manchester City,31,1986,29,28,2430,27,9,11,20,9,0,0,5,0,7.2,7.2,8.4,15.6,158,337,247,0.33,0.41,0.74,0.33,0.74,0.27,0.31,0.58,0.27,0.58,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny Simpson,ENG,DF,Leicester City,30,1987,28,27,2306,25.6,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,54,47,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Simpson,ENG,DF,AFC Bournemouth,20,1996,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Sims,ENG,FW,Southampton,20,1997,6,1,163,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,10,4,17,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Sinclair,ENG,MF,Watford,20,1996,4,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0.13,0.13,0,0.13,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moussa Sissoko,FRA,MF,Tottenham Hotspur,27,1989,32,15,1386,15.4,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,50,85,102,0.06,0.06,0.13,0.06,0.13,0.14,0.14,0.28,0.14,0.28,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Islam Slimani,ALG,FW,Leicester City,29,1988,12,2,249,2.8,1,1,2,1,0,0,0,0,1.5,1.5,0.2,1.7,5,7,25,0.36,0.36,0.72,0.36,0.72,0.55,0.07,0.63,0.55,0.63,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Islam Slimani,ALG,FW,Newcastle United,29,1988,4,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0.4,0.4,3,2,19,0,0,0,0,0,0,0.28,0.28,0,0.28,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Smalling,ENG,DF,Manchester United,27,1989,29,28,2536,28.2,4,0,4,4,0,0,4,0,1.7,1.7,0.2,2,5,37,8,0.14,0,0.14,0.14,0.14,0.06,0.01,0.07,0.06,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Smith,ENG,DF,AFC Bournemouth,26,1991,27,22,2071,23,1,3,4,1,0,0,6,0,0.5,0.5,1.6,2.1,56,90,99,0.04,0.13,0.17,0.04,0.17,0.02,0.07,0.09,0.02,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Smith,ENG,DF,Huddersfield Town,25,1992,24,21,1904,21.2,0,1,1,0,0,0,7,0,0.2,0.2,1.8,2,36,56,86,0,0.05,0.05,0,0.05,0.01,0.09,0.09,0.01,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cédric Soares,POR,DF,Southampton,25,1991,32,32,2794,31,0,3,3,0,0,0,3,0,0.7,0.7,3.1,3.9,52,139,151,0,0.1,0.1,0,0.1,0.02,0.1,0.12,0.02,0.12,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramadan Sobhi,EGY,MF,Stoke City,20,1997,24,12,1238,13.8,2,0,2,2,0,0,2,0,1.2,1.2,1,2.2,58,38,102,0.15,0,0.15,0.15,0.15,0.09,0.07,0.16,0.09,0.16,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominic Solanke,ENG,FW,Liverpool,19,1997,21,5,596,6.6,1,1,2,1,0,0,0,0,3.5,3.5,2.6,6.1,15,15,48,0.15,0.15,0.3,0.15,0.3,0.53,0.4,0.92,0.53,0.92,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pape Souaré,SEN,DF,Crystal Palace,27,1990,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julián Speroni,ARG,GK,Crystal Palace,38,1979,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18,14,1.27,43,29,69.8,2,18.2,1,1,0,0,0
Kostas Stafylidis,GRE,DF,Stoke City,23,1993,5,4,335,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,3,8,3,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junior Stanislas,ENG,MF,AFC Bournemouth,27,1989,19,17,1286,14.3,5,2,7,4,1,1,1,0,3.9,3.1,1.9,5,36,63,100,0.35,0.14,0.49,0.28,0.42,0.27,0.13,0.4,0.22,0.35,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dale Stephens,ENG,MF,Brighton & Hove Albion,28,1989,36,36,3240,36,0,3,3,0,0,0,6,0,1.2,1.2,2.3,3.5,31,191,13,0,0.08,0.08,0,0.08,0.03,0.06,0.1,0.03,0.1,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Stephens,ENG,DF,Southampton,23,1994,22,22,1980,22,2,0,2,2,0,0,6,1,1.3,1.3,0.2,1.6,24,45,14,0.09,0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Sterling,ENG,FW,Manchester City,22,1994,33,29,2587,28.7,18,11,29,17,1,1,4,2,16.2,15.3,7.3,22.6,116,94,410,0.63,0.38,1.01,0.59,0.97,0.56,0.25,0.82,0.53,0.79,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Stones,ENG,DF,Manchester City,23,1994,18,16,1302,14.5,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,11,71,7,0,0,0,0,0,0.05,0,0.05,0.05,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Sturridge,ENG,FW,West Brom,27,1989,6,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,6,8,0,0,0,0,0,0.1,0.17,0.27,0.1,0.27,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Sturridge,ENG,FW,Liverpool,27,1989,9,5,431,4.8,2,1,3,2,0,0,0,0,2.3,2.3,0.8,3.2,11,16,53,0.42,0.21,0.63,0.42,0.63,0.49,0.17,0.66,0.49,0.66,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ki Sung-yueng,KOR,MF,Swansea City,28,1989,25,21,1868,20.8,2,2,4,2,0,0,2,0,0.9,0.9,1.5,2.4,17,64,30,0.1,0.1,0.19,0.1,0.19,0.05,0.07,0.12,0.05,0.12,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Surman,ENG,MF,AFC Bournemouth,30,1986,25,20,1856,20.6,2,5,7,2,0,0,2,0,1.2,1.2,1,2.2,10,134,14,0.1,0.24,0.34,0.1,0.34,0.06,0.05,0.11,0.06,0.11,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markus Suttner,AUT,DF,Brighton & Hove Albion,30,1987,14,13,1179,13.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,17,56,32,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasse Sørensen,DEN,MF,Stoke City,17,1999,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.18,0.18,0,0.18,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Sørloth,NOR,FW,Crystal Palace,21,1995,4,4,360,4,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,13,7,24,0,0,0,0,0,0.13,0.12,0.25,0.13,0.25,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dušan Tadić,SRB,MF,Southampton,28,1988,36,34,2791,31,6,3,9,5,1,1,4,0,5.8,5,5.7,10.7,113,167,312,0.19,0.1,0.29,0.16,0.26,0.19,0.18,0.37,0.16,0.35,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Targett,ENG,DF,Southampton,21,1995,2,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,5,6,0,0,0,0,0,0,0.06,0.06,0,0.06,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Tarkowski,ENG,DF,Burnley,24,1992,31,31,2790,31,0,0,0,0,0,0,5,0,1.4,1.4,0.8,2.2,5,59,8,0,0,0,0,0,0.05,0.03,0.07,0.05,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Taylor,ENG,DF,Burnley,23,1993,11,10,950,10.6,0,0,0,0,0,0,3,0,0,0,0.2,0.2,19,23,21,0,0,0,0,0,0,0.02,0.02,0,0.02,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Tomkins,ENG,DF,Crystal Palace,28,1989,28,27,2387,26.5,3,0,3,3,0,0,8,0,2.2,2.2,0.1,2.3,6,45,3,0.11,0,0.11,0.11,0.11,0.08,0,0.09,0.08,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cenk Tosun,TUR,FW,Everton,26,1991,14,12,986,11,5,0,5,5,0,0,0,0,2.8,2.8,1.4,4.2,9,9,69,0.46,0,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yaya Touré,CIV,MF,Manchester City,34,1983,10,1,236,2.6,0,2,2,0,0,0,1,0,0.4,0.4,0.9,1.3,20,50,4,0,0.76,0.76,0,0.76,0.14,0.35,0.49,0.14,0.49,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andros Townsend,ENG,FW,Crystal Palace,26,1991,36,35,3120,34.7,2,7,9,2,0,0,3,0,3,3,7.2,10.2,161,104,249,0.06,0.2,0.26,0.06,0.26,0.09,0.21,0.3,0.09,0.3,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kieran Trippier,ENG,DF,Tottenham Hotspur,26,1990,24,21,1914,21.3,0,5,5,0,0,0,1,0,0.4,0.4,4.2,4.6,37,114,195,0,0.24,0.24,0,0.24,0.02,0.2,0.22,0.02,0.22,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axel Tuanzebe,ENG,FW,Manchester United,19,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Tymon,ENG,DF,Stoke City,18,1999,3,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leonardo Ulloa,ARG,FW,Leicester City,31,1986,4,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,2,0,0,0,0,0,0.31,1.38,1.69,0.31,1.69,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leonardo Ulloa,ARG,FW,Brighton & Hove Albion,31,1986,10,2,267,3,1,0,1,1,0,0,0,0,0.7,0.7,0.2,1,1,15,16,0.34,0,0.34,0.34,0.34,0.25,0.08,0.33,0.25,0.33,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Valencia,ECU,DF,Manchester United,31,1985,31,31,2740,30.4,3,1,4,3,0,0,7,0,0.5,0.5,1.2,1.7,103,84,152,0.1,0.03,0.13,0.1,0.13,0.02,0.04,0.06,0.02,0.06,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virgil van Dijk,NED,DF,Southampton,26,1991,12,11,994,11,0,0,0,0,0,0,0,0,0.9,0.9,1,2,17,42,8,0,0,0,0,0,0.08,0.09,0.18,0.08,0.18,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virgil van Dijk,NED,DF,Liverpool,26,1991,14,14,1260,14,0,0,0,0,0,0,1,0,1.2,1.2,1.2,2.3,11,82,6,0,0,0,0,0,0.08,0.08,0.16,0.08,0.16,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamie Vardy,ENG,FW,Leicester City,30,1987,37,37,3247,36.1,20,1,21,15,5,6,3,0,16.1,11.3,3,14.3,51,31,211,0.55,0.03,0.58,0.42,0.44,0.45,0.08,0.53,0.31,0.4,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jan Vertonghen,BEL,DF,Tottenham Hotspur,30,1987,36,36,3203,35.6,0,0,0,0,0,0,4,0,1,1,0.8,1.7,68,243,29,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nikola Vlašić,CRO,MF,Everton,19,1997,12,7,576,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,22,16,49,0,0,0,0,0,0.04,0.12,0.16,0.04,0.16,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Vokes,WAL,FW,Burnley,27,1989,30,7,998,11.1,4,1,5,4,0,0,3,0,2.8,2.8,1.3,4.2,3,17,62,0.36,0.09,0.45,0.36,0.45,0.25,0.12,0.38,0.25,0.38,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michel Vorm,NED,GK,Tottenham Hotspur,33,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/18,1,1,4,4,75,0,0,0,0,0,0,NA
Molla Wagué,MLI,DF,Watford,26,1991,6,5,438,4.9,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,0,6,0,0.21,0,0.21,0.21,0.21,0.08,0,0.08,0.08,0.08,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Walcott,ENG,FW,Arsenal,28,1989,6,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Walcott,ENG,FW,Everton,28,1989,14,13,1152,12.8,3,3,6,3,0,0,2,0,2.5,2.5,2.4,4.8,35,33,99,0.23,0.23,0.47,0.23,0.47,0.19,0.18,0.38,0.19,0.38,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Walker,ENG,DF,Manchester City,27,1990,32,32,2785,30.9,0,6,6,0,0,0,3,2,0.6,0.6,4.6,5.3,105,221,190,0,0.19,0.19,0,0.19,0.02,0.15,0.17,0.02,0.17,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Walker-Peters,ENG,DF,Tottenham Hotspur,20,1997,3,2,189,2.1,0,2,2,0,0,0,0,0,0,0,1.2,1.2,8,8,21,0,0.95,0.95,0,0.95,0,0.59,0.59,0,0.59,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Walters,IRL,FW,Burnley,33,1983,3,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,6,0,0,0,0,0,0.44,0,0.44,0.44,0.44,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Wan-Bissaka,ENG,DF,Crystal Palace,19,1997,7,7,627,7,0,0,0,0,0,0,1,0,0,0,0.2,0.2,22,23,14,0,0,0,0,0,0,0.03,0.03,0,0.03,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Victor Wanyama,KEN,MF,Tottenham Hotspur,26,1991,18,8,846,9.4,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,23,65,14,0.11,0,0.11,0.11,0.11,0.05,0.02,0.07,0.05,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joel Ward,ENG,DF,Crystal Palace,27,1989,19,19,1613,17.9,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,15,79,50,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stephen Ward,IRL,DF,Burnley,31,1985,28,28,2460,27.3,1,1,2,1,0,0,1,0,0.3,0.3,1.4,1.8,47,87,91,0.04,0.04,0.07,0.04,0.07,0.01,0.05,0.07,0.01,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ward-Prowse,ENG,FW,Southampton,22,1994,30,20,1716,19.1,3,3,6,3,0,0,3,0,2.2,2.2,2.8,5,9,66,102,0.16,0.16,0.31,0.16,0.31,0.11,0.15,0.26,0.11,0.26,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Watson,ENG,MF,Watford,32,1985,8,6,456,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,24,5,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny Welbeck,ENG,FW,Arsenal,26,1990,28,12,1194,13.3,5,2,7,5,0,0,1,0,5.5,5.5,1.4,7,30,23,117,0.38,0.15,0.53,0.38,0.53,0.42,0.11,0.52,0.42,0.52,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nahki Wells,BER,FW,Burnley,27,1990,9,0,55,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,2,1,5,0,0,0,0,0,0.95,0,0.95,0.95,0.95,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashley Westwood,ENG,MF,Burnley,27,1990,19,12,1111,12.3,0,1,1,0,0,0,2,0,0.6,0.6,1,1.6,8,69,6,0,0.08,0.08,0,0.08,0.05,0.08,0.13,0.05,0.13,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dean Whitehead,ENG,MF,Huddersfield Town,35,1982,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georginio Wijnaldum,NED,MF,Liverpool,26,1990,33,27,2387,26.5,1,2,3,1,0,0,1,0,2.8,2.8,1.2,4,49,116,84,0.04,0.08,0.11,0.04,0.11,0.11,0.05,0.15,0.11,0.15,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashley Williams,WAL,DF,Everton,32,1984,24,20,1834,20.4,1,0,1,1,0,0,3,1,0.8,0.8,0.3,1.2,2,39,1,0.05,0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny Williams,USA,MF,Huddersfield Town,28,1989,20,11,1124,12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,17,27,16,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willian,BRA,MF,Chelsea,28,1988,36,20,1890,21,6,7,13,5,1,1,1,0,5.5,4.7,5.3,10,108,131,210,0.29,0.33,0.62,0.24,0.57,0.26,0.25,0.51,0.22,0.48,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Willock,ENG,MF,Arsenal,17,1999,2,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.09,0,0.09,0.09,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Wilshere,ENG,MF,Arsenal,25,1992,20,12,1193,13.3,1,3,4,1,0,0,6,0,1.1,1.1,2.6,3.7,62,108,39,0.08,0.23,0.3,0.08,0.3,0.08,0.19,0.28,0.08,0.28,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callum Wilson,ENG,FW,AFC Bournemouth,25,1992,28,23,1981,22,8,2,10,8,0,0,0,0,7.6,7.6,1.5,9.1,34,39,170,0.36,0.09,0.45,0.36,0.45,0.34,0.07,0.41,0.34,0.41,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Wimmer,AUT,DF,Stoke City,24,1992,17,14,1323,14.7,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,3,40,1,0,0,0,0,0,0,0.01,0.02,0,0.02,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Winks,ENG,MF,Tottenham Hotspur,21,1996,16,9,774,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,14,69,17,0,0.12,0.12,0,0.12,0.01,0.06,0.07,0.01,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Wood,NZL,FW,Burnley,25,1991,24,20,1624,18,10,1,11,10,0,0,1,0,7,7,0.6,7.6,15,16,117,0.55,0.06,0.61,0.55,0.61,0.39,0.03,0.42,0.39,0.42,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Woodburn,WAL,FW,Liverpool,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granit Xhaka,SUI,MF,Arsenal,24,1992,38,37,3260,36.2,1,7,8,1,0,0,10,0,2.4,2.4,3.4,5.8,67,424,64,0.03,0.19,0.22,0.03,0.22,0.07,0.09,0.16,0.07,0.16,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claudio Yacob,ARG,MF,West Brom,30,1987,16,9,903,10,0,0,0,0,0,0,5,0,0.5,0.5,0,0.5,2,28,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Yedlin,USA,DF,Newcastle United,24,1993,34,31,2845,31.6,0,2,2,0,0,0,5,0,0.2,0.2,2,2.2,44,74,128,0,0.06,0.06,0,0.06,0,0.06,0.07,0,0.07,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maya Yoshida,JPN,DF,Southampton,28,1988,24,23,2051,22.8,2,0,2,2,0,0,3,2,2,2,0.4,2.4,7,58,6,0.09,0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashley Young,ENG,DF,Manchester United,32,1985,30,28,2442,27.1,2,4,6,2,0,0,7,0,0.8,0.8,3.6,4.4,90,103,113,0.07,0.15,0.22,0.07,0.22,0.03,0.13,0.16,0.03,0.16,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pablo Zabaleta,ARG,DF,West Ham,32,1985,37,37,3289,36.5,0,1,1,0,0,0,9,0,0.4,0.4,0.9,1.3,26,145,95,0,0.03,0.03,0,0.03,0.01,0.03,0.04,0.01,0.04,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilfried Zaha,CIV,FW,Crystal Palace,24,1992,29,28,2549,28.3,9,3,12,9,0,0,5,0,9.2,9.2,4.7,13.9,173,96,283,0.32,0.11,0.42,0.32,0.42,0.33,0.17,0.49,0.33,0.49,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davide Zappacosta,ITA,DF,Chelsea,25,1992,22,12,1098,12.2,1,1,2,1,0,0,0,0,1.4,1.4,1.3,2.7,64,22,124,0.08,0.08,0.16,0.08,0.16,0.11,0.11,0.22,0.11,0.22,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Zeegelaar,NED,DF,Watford,26,1990,12,12,994,11,0,1,1,0,0,0,4,1,0,0,1,1,30,54,44,0,0.09,0.09,0,0.09,0,0.09,0.09,0,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oleksandr Zinchenko,UKR,DF,Manchester City,20,1996,8,6,532,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,9,57,49,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurt Zouma,FRA,DF,Stoke City,22,1994,34,32,2888,32.1,1,0,1,1,0,0,1,0,1.3,1.2,0.4,1.6,23,86,11,0.03,0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
