tabla,team1,team2,correccion,,tabla,team,is_equal,,tabla,team,is_equal,,tabla,team1,team2,is_equal,is_equal1,,tabla,team1,team2,is_equal,is_equal1,,tabla,HomeTeam,AwayTeam,is_equal,is_equal1,,tabla,team_name,opp_team_name,is_equal,is_equal1,,table,team_name,is_equal,,tabla,team_name,opponent_team,is_equal,is_equal1,,tabla,team,is_equal,,table,team_name,is_equal
premier_league,Hull City,Hull City,Hull City,,pl_overturns,AFC Bournemouth,1,,pl_overturns_var,Liverpool,1,,var_details,Liverpool,Leeds,1,0,,var_details1,Liverpool,Leeds,1,0,,stats_epl,Hull,Hull,0,0,,fpl_merged_seasons,Hull,Hull,0,0,,fpl_merged_players,Hull,0,,fpl_merged_gw,Hull,Hull,0,0,,epl_poss_stats,Hull,0,,pl_action_zones,Hull,0
premier_league,Leeds,Leeds,Leeds United,,pl_overturns,Chelsea,1,,pl_overturns_var,Manchester City,1,,var_details,Manchester City,Leicester City,1,1,,var_details1,Manchester City,Leicester City,1,1,,stats_epl,Leeds,Leeds,0,0,,fpl_merged_seasons,Leeds,Leeds,0,0,,fpl_merged_players,Leeds,0,,fpl_merged_gw,Leeds,Leeds,0,0,,epl_poss_stats,Leeds,0,,pl_action_zones,Leeds,0
premier_league,Leicester City,Leicester City,Leicester City,,pl_overturns,Watford,1,,pl_overturns_var,Manchester United,1,,var_details,Manchester United,Liverpool,1,1,,var_details1,Manchester United,Liverpool,1,1,,stats_epl,Leicester City,Leicester City,1,1,,fpl_merged_seasons,Leicester City,Leicester City,1,1,,fpl_merged_players,Leicester,0,,fpl_merged_gw,Leicester City,Leicester City,1,1,,epl_poss_stats,Leicester City,1,,pl_action_zones,Leicester,0
premier_league,Liverpool,Liverpool,Liverpool,,pl_overturns,Aston Villa,1,,pl_overturns_var,Newcastle United,1,,var_details,Newcastle,Manchester City,0,1,,var_details1,Newcastle,Manchester City,0,1,,stats_epl,Liverpool,Liverpool,1,1,,fpl_merged_seasons,Liverpool,Liverpool,1,1,,fpl_merged_players,Liverpool,1,,fpl_merged_gw,Liverpool,Liverpool,1,1,,epl_poss_stats,Liverpool,1,,pl_action_zones,Liverpool,1
premier_league,Manchester City,Manchester City,Manchester City,,pl_overturns,West Ham,1,,pl_overturns_var,Norwich City,1,,var_details,Norwich City,Manchester United,1,1,,var_details1,Norwich City,Manchester United,1,1,,stats_epl,Manchester City,Manchester City,1,1,,fpl_merged_seasons,Manchester City,Manchester City,1,1,,fpl_merged_players,Man City,0,,fpl_merged_gw,Manchester City,Manchester City,1,1,,epl_poss_stats,Manchester City,1,,pl_action_zones,Manchester City,1
premier_league,Manchester United,Manchester United,Manchester United,,pl_overturns,Sheffield United,1,,pl_overturns_var,Sheffield United,1,,var_details,Sheffield United,Newcastle United,1,1,,var_details1,Sheffield United,Newcastle United,1,1,,stats_epl,Manchester United,Manchester United,1,1,,fpl_merged_seasons,Manchester United,Manchester United,1,1,,fpl_merged_players,Man Utd,0,,fpl_merged_gw,Manchester United,Manchester United,1,1,,epl_poss_stats,Manchester United,1,,pl_action_zones,Manchester United,1
premier_league,Middlesbrough,Middlesbrough,Middlesbrough,,pl_overturns,Wolves,1,,pl_overturns_var,Southampton,1,,var_details,Southampton,Norwich City,1,1,,var_details1,Southampton,Norwich City,1,1,,stats_epl,Middlesbrough,Middlesbrough,1,1,,fpl_merged_seasons,Middlesbrough,Middlesbrough,1,1,,fpl_merged_players,Middlesbrough,1,,fpl_merged_gw,Middlesbrough,Middlesbrough,1,1,,epl_poss_stats,Middlesbrough,1,,pl_action_zones,Middlesbrough,1
premier_league,Newcastle United,Newcastle United,Newcastle United,,pl_overturns,Norwich City,1,,pl_overturns_var,Tottenham Hotspur,1,,var_details,Tottenham Hotspur,Sheffield United,1,1,,var_details1,Tottenham Hotspur,Sheffield United,1,1,,stats_epl,Newcastle,Newcastle,0,0,,fpl_merged_seasons,Newcastle,Newcastle,0,0,,fpl_merged_players,Newcastle,0,,fpl_merged_gw,Newcastle,Newcastle,0,0,,epl_poss_stats,Newcastle,0,,pl_action_zones,Newcastle,0
premier_league,Norwich City,Norwich City,Norwich City,,pl_overturns,Fulham,1,,pl_overturns_var,Watford,1,,var_details,Watford,Southampton,1,1,,var_details1,Watford,Southampton,1,1,,stats_epl,Norwich City,Norwich City,1,1,,fpl_merged_seasons,Norwich City,Norwich City,1,1,,fpl_merged_players,Norwich,0,,fpl_merged_gw,Norwich City,Norwich City,1,1,,epl_poss_stats,Norwich City,1,,pl_action_zones,Norwich,0
premier_league,Nottingham Forest,Nottingham Forest,Nottingham Forest,,pl_overturns,Leeds,0,,pl_overturns_var,West Brom,1,,var_details,West Brom,Tottenham Hotspur,1,1,,var_details1,West Brom,Tottenham Hotspur,1,1,,stats_epl,Sheffield United,Sheffield United,1,1,,fpl_merged_seasons,Sheffield United,Sheffield United,1,1,,fpl_merged_players,Sheffield Utd,0,,fpl_merged_gw,Sheffield United,Sheffield United,1,1,,epl_poss_stats,Sheffield United,1,,pl_action_zones,Sheffield United,1
premier_league,Sheffield United,Sheffield United,Sheffield United,,pl_overturns,West Brom,1,,pl_overturns_var,West Ham,1,,var_details,West Ham,Watford,1,1,,var_details1,West Ham,Watford,1,1,,stats_epl,Southampton,Southampton,1,1,,fpl_merged_seasons,Southampton,Southampton,1,1,,fpl_merged_players,Southampton,1,,fpl_merged_gw,Southampton,Southampton,1,1,,epl_poss_stats,Southampton,1,,pl_action_zones,Southampton,1
premier_league,Southampton,Southampton,Southampton,,pl_overturns,Brentford,1,,pl_overturns_var,Wolves,1,,var_details,Wolves,West Brom,1,1,,var_details1,Wolves,West Brom,1,1,,stats_epl,Stoke,Stoke,0,0,,fpl_merged_seasons,Stoke,Stoke,0,0,,fpl_merged_players,Spurs,0,,fpl_merged_gw,Stoke,Stoke,0,0,,epl_poss_stats,Stoke,0,,pl_action_zones,Stoke,0
premier_league,Stoke City,Stoke City,Stoke City,,pl_overturns,Norwich,0,,,,,,var_details,,West Ham,0,1,,var_details1,,West Ham,0,1,,stats_epl,Sunderland,Sunderland,1,1,,fpl_merged_seasons,Sunderland,Sunderland,1,1,,fpl_merged_players,Stoke,0,,fpl_merged_gw,Sunderland,Sunderland,1,1,,epl_poss_stats,Sunderland,1,,pl_action_zones,Sunderland,1
premier_league,Sunderland,Sunderland,Sunderland,,,,,,,,,,var_details,,Wolves,0,1,,var_details1,,Wolves,0,1,,stats_epl,Swansea,Swansea,0,0,,fpl_merged_seasons,Swansea,Swansea,0,0,,fpl_merged_players,Sunderland,1,,fpl_merged_gw,Swansea,Swansea,0,0,,epl_poss_stats,Swansea,0,,pl_action_zones,Swansea,0
premier_league,Swansea City,Swansea City,Swansea City,,,,,,,,,,,,,,,,,,,,,,stats_epl,Tottenham Hotspur,Tottenham Hotspur,1,1,,fpl_merged_seasons,Tottenham Hotspur,Tottenham Hotspur,1,1,,fpl_merged_players,Swansea,0,,fpl_merged_gw,Tottenham Hotspur,Tottenham Hotspur,1,1,,epl_poss_stats,Tottenham Hotspur,1,,pl_action_zones,Tottenham,0
premier_league,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,stats_epl,Watford,Watford,1,1,,fpl_merged_seasons,Watford,Watford,1,1,,fpl_merged_players,Watford,1,,fpl_merged_gw,Watford,Watford,1,1,,epl_poss_stats,Watford,1,,pl_action_zones,Watford,1
premier_league,Watford,Watford,Watford,,,,,,,,,,,,,,,,,,,,,,stats_epl,West Brom,West Brom,1,1,,fpl_merged_seasons,West Brom,West Brom,1,1,,fpl_merged_players,West Brom,1,,fpl_merged_gw,West Brom,West Brom,1,1,,epl_poss_stats,West Brom,1,,pl_action_zones,West Bromwich,0
premier_league,West Brom,West Brom,West Brom,,,,,,,,,,,,,,,,,,,,,,stats_epl,West Ham,West Ham,1,1,,fpl_merged_seasons,West Ham,West Ham,1,1,,fpl_merged_players,West Ham,1,,fpl_merged_gw,West Ham,West Ham,1,1,,epl_poss_stats,West Ham,1,,pl_action_zones,West Ham,1
premier_league,West Ham,West Ham,West Ham,,,,,,,,,,,,,,,,,,,,,,stats_epl,Wolves,Wolves,1,1,,fpl_merged_seasons,Wolves,Wolves,1,1,,fpl_merged_players,Wolves,1,,fpl_merged_gw,Wolves,Wolves,1,1,,epl_poss_stats,Wolves,1,,pl_action_zones,Wolverhampton,0
premier_league,Wolves,Wolves,Wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
